#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
37332,43560213,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210529,-
37332,61144991,dnaA,NSERUTF1_RS00005,NSERUTF1_0001,-,-,-,chromosomal replication initiator protein DnaA,protein-coding,-,-,-,chromosomal replication initiator protein DnaA,20201230,-
37332,61144992,dnaN,NSERUTF1_RS00010,NSERUTF1_0002,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20201230,-
37332,61144993,recF,NSERUTF1_RS00015,NSERUTF1_0003,-,-,-,DNA replication/repair protein RecF,protein-coding,-,-,-,DNA replication/repair protein RecF,20201230,-
37332,61144994,NSERUTF1_RS00020,NSERUTF1_RS00020,NSERUTF1_0004,-,-,-,DUF721 family protein,protein-coding,-,-,-,DUF721 family protein,20210424,-
37332,61144995,gyrB,NSERUTF1_RS00025,NSERUTF1_0005,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,protein-coding,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,20201228,-
37332,61144996,gyrA,NSERUTF1_RS00030,NSERUTF1_0006,-,-,-,DNA gyrase subunit A,protein-coding,-,-,-,DNA gyrase subunit A,20210424,-
37332,61144997,NSERUTF1_RS00035,NSERUTF1_RS00035,NSERUTF1_0007,-,-,-,DUF3566 domain-containing protein,protein-coding,-,-,-,DUF3566 domain-containing protein,20201228,-
37332,61144998,NSERUTF1_RS00040,NSERUTF1_RS00040,NSERUTF1_0008,-,-,-,tRNA,tRNA,-,-,-,-,20201226,-
37332,61144999,NSERUTF1_RS00045,NSERUTF1_RS00045,NSERUTF1_0009,-,-,-,tRNA,tRNA,-,-,-,-,20201226,-
37332,61145000,NSERUTF1_RS00050,NSERUTF1_RS00050,NSERUTF1_0010,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20201230,-
37332,61145001,NSERUTF1_RS00055,NSERUTF1_RS00055,NSERUTF1_0011,-,-,-,protogloblin ApPgb,protein-coding,-,-,-,protogloblin ApPgb,20201230,-
37332,61145002,NSERUTF1_RS00060,NSERUTF1_RS00060,NSERUTF1_0013,-,-,-,adenylate/guanylate cyclase domain-containing protein,protein-coding,-,-,-,adenylate/guanylate cyclase domain-containing protein,20210424,-
37332,61145003,NSERUTF1_RS00065,NSERUTF1_RS00065,NSERUTF1_0014,-,-,-,daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein,protein-coding,-,-,-,daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein,20210424,-
37332,61145004,NSERUTF1_RS00070,NSERUTF1_RS00070,NSERUTF1_0015,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210424,-
37332,61145005,NSERUTF1_RS00075,NSERUTF1_RS00075,NSERUTF1_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
37332,61145006,glmS,NSERUTF1_RS00080,NSERUTF1_0017,-,-,-,glutamine--fructose-6-phosphate transaminase (isomerizing),protein-coding,-,-,-,glutamine--fructose-6-phosphate transaminase (isomerizing),20201230,-
37332,61145007,NSERUTF1_RS00085,NSERUTF1_RS00085,NSERUTF1_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
37332,61145008,NSERUTF1_RS00090,NSERUTF1_RS00090,NSERUTF1_0019,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20201230,-
37332,61145009,NSERUTF1_RS00095,NSERUTF1_RS00095,NSERUTF1_0020,-,-,-,rhomboid family intramembrane serine protease,protein-coding,-,-,-,rhomboid family intramembrane serine protease,20210424,-
37332,61145010,NSERUTF1_RS00100,NSERUTF1_RS00100,NSERUTF1_0021,-,-,-,PH domain-containing protein,protein-coding,-,-,-,PH domain-containing protein,20210424,-
37332,61145011,crgA,NSERUTF1_RS00105,NSERUTF1_0022,-,-,-,cell division protein CrgA,protein-coding,-,-,-,cell division protein CrgA,20201230,-
37332,61145012,NSERUTF1_RS00110,NSERUTF1_RS00110,NSERUTF1_0023,-,-,-,aminodeoxychorismate/anthranilate synthase component II,protein-coding,-,-,-,aminodeoxychorismate/anthranilate synthase component II,20201230,-
37332,61145013,NSERUTF1_RS00115,NSERUTF1_RS00115,-,-,-,-,dihydrofolate reductase family protein,protein-coding,-,-,-,dihydrofolate reductase family protein,20210424,-
37332,61145014,NSERUTF1_RS00120,NSERUTF1_RS00120,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
37332,61145015,pknB,NSERUTF1_RS00125,NSERUTF1_0025,-,-,-,Stk1 family PASTA domain-containing Ser/Thr kinase,protein-coding,-,-,-,Stk1 family PASTA domain-containing Ser/Thr kinase,20201228,-
37332,61145016,NSERUTF1_RS00130,NSERUTF1_RS00130,NSERUTF1_0026,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20201228,-
37332,61145017,NSERUTF1_RS00135,NSERUTF1_RS00135,NSERUTF1_0027,-,-,-,penicillin-binding protein 2,protein-coding,-,-,-,penicillin-binding protein 2,20201230,-
37332,61145018,NSERUTF1_RS00140,NSERUTF1_RS00140,NSERUTF1_0028,-,-,-,FtsW/RodA/SpoVE family cell cycle protein,protein-coding,-,-,-,FtsW/RodA/SpoVE family cell cycle protein,20201230,-
37332,61145019,NSERUTF1_RS00145,NSERUTF1_RS00145,NSERUTF1_0029,-,-,-,serine/threonine-protein phosphatase,protein-coding,-,-,-,serine/threonine-protein phosphatase,20201230,-
37332,61145020,NSERUTF1_RS00150,NSERUTF1_RS00150,NSERUTF1_0030,-,-,-,FHA domain-containing protein,protein-coding,-,-,-,FHA domain-containing protein,20201230,-
37332,61145021,NSERUTF1_RS00155,NSERUTF1_RS00155,NSERUTF1_0031,-,-,-,DUF3662 domain-containing protein,protein-coding,-,-,-,DUF3662 domain-containing protein,20210424,-
37332,61145022,NSERUTF1_RS00160,NSERUTF1_RS00160,NSERUTF1_0032,-,-,-,tRNA,tRNA,-,-,-,-,20201226,-
37332,61145023,NSERUTF1_RS00165,NSERUTF1_RS00165,NSERUTF1_0034,-,-,-,stage II sporulation protein M,protein-coding,-,-,-,stage II sporulation protein M,20210424,-
37332,61145024,NSERUTF1_RS00170,NSERUTF1_RS00170,NSERUTF1_0035,-,-,-,RDD family protein,protein-coding,-,-,-,RDD family protein,20201228,-
37332,61145025,NSERUTF1_RS00175,NSERUTF1_RS00175,NSERUTF1_0036,-,-,-,DUF58 domain-containing protein,protein-coding,-,-,-,DUF58 domain-containing protein,20201230,-
37332,61145026,NSERUTF1_RS00180,NSERUTF1_RS00180,NSERUTF1_0037,-,-,-,MoxR family ATPase,protein-coding,-,-,-,MoxR family ATPase,20201228,-
37332,61145027,NSERUTF1_RS00185,NSERUTF1_RS00185,NSERUTF1_0038,-,-,-,DUF4129 domain-containing protein,protein-coding,-,-,-,DUF4129 domain-containing protein,20210424,-
37332,61145028,NSERUTF1_RS00190,NSERUTF1_RS00190,NSERUTF1_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
37332,61145029,NSERUTF1_RS00195,NSERUTF1_RS00195,NSERUTF1_0040,-,-,-,TetR/AcrR family transcriptional regulator,protein-coding,-,-,-,TetR/AcrR family transcriptional regulator,20210424,-
37332,61145030,NSERUTF1_RS00200,NSERUTF1_RS00200,NSERUTF1_0041,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210424,-
37332,61145031,NSERUTF1_RS00205,NSERUTF1_RS00205,NSERUTF1_0042,-,-,-,DUF4407 domain-containing protein,protein-coding,-,-,-,DUF4407 domain-containing protein,20210424,-
37332,61145032,gltB,NSERUTF1_RS00210,NSERUTF1_0044,-,-,-,glutamate synthase large subunit,protein-coding,-,-,-,glutamate synthase large subunit,20201228,-
37332,61145033,NSERUTF1_RS00215,NSERUTF1_RS00215,NSERUTF1_0045,-,-,-,glutamate synthase subunit beta,protein-coding,-,-,-,glutamate synthase subunit beta,20201230,-
37332,61145034,NSERUTF1_RS00220,NSERUTF1_RS00220,NSERUTF1_0046,-,-,-,cellulase family glycosylhydrolase,protein-coding,-,-,-,cellulase family glycosylhydrolase,20210424,-
37332,61145035,NSERUTF1_RS00225,NSERUTF1_RS00225,NSERUTF1_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201230,-
37332,61145036,NSERUTF1_RS00230,NSERUTF1_RS00230,NSERUTF1_0048,-,-,-,esterase family protein,protein-coding,-,-,-,esterase family protein,20201230,-
