#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301547,64367749,2,KD929_gp02,SEA_AGGIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2301547,64367750,3,KD929_gp03,SEA_AGGIE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367751,4,KD929_gp04,SEA_AGGIE_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2301547,64367752,5,KD929_gp05,SEA_AGGIE_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210423,-
2301547,64367753,6,KD929_gp06,SEA_AGGIE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2301547,64367754,7,KD929_gp07,SEA_AGGIE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367755,8,KD929_gp08,SEA_AGGIE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210423,-
2301547,64367756,9,KD929_gp09,SEA_AGGIE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210423,-
2301547,64367757,10,KD929_gp10,SEA_AGGIE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367758,11,KD929_gp11,SEA_AGGIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2301547,64367759,12,KD929_gp12,SEA_AGGIE_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210423,-
2301547,64367760,13,KD929_gp13,SEA_AGGIE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210423,-
2301547,64367761,15,KD929_gp14,SEA_AGGIE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2301547,64367762,16,KD929_gp16,SEA_AGGIE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2301547,64367763,14,KD929_gp15,SEA_AGGIE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210423,-
2301547,64367764,17,KD929_gp17,SEA_AGGIE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301547,64367765,18,KD929_gp18,SEA_AGGIE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301547,64367766,19,KD929_gp19,SEA_AGGIE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301547,64367767,20,KD929_gp20,SEA_AGGIE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301547,64367768,21,KD929_gp21,SEA_AGGIE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367769,22,KD929_gp22,SEA_AGGIE_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210423,-
2301547,64367770,23,KD929_gp23,SEA_AGGIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367771,24,KD929_gp24,SEA_AGGIE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367772,25,KD929_gp25,SEA_AGGIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2301547,64367773,26,KD929_gp26,SEA_AGGIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
