#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815984,55804710,HYO99_gp02,HYO99_gp02,RDp01_gp02,-,-,-,terminase subunit A,protein-coding,-,-,-,terminase subunit A,20210424,-
1815984,55804711,HYO99_gp03,HYO99_gp03,RDp01_gp03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804712,HYO99_gp04,HYO99_gp04,RDp01_gp04,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20200704,-
1815984,55804713,HYO99_gp05,HYO99_gp05,RDp01_gp05,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1815984,55804714,HYO99_gp06,HYO99_gp06,RDp01_gp06,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20200704,-
1815984,55804715,HYO99_gp07,HYO99_gp07,RDp01_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1815984,55804716,HYO99_gp08,HYO99_gp08,RDp01_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804717,HYO99_gp09,HYO99_gp09,RDp01_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804718,HYO99_gp10,HYO99_gp10,RDp01_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804719,HYO99_gp11,HYO99_gp11,RDp01_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804720,HYO99_gp12,HYO99_gp12,RDp01_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804721,HYO99_gp13,HYO99_gp13,RDp01_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804722,HYO99_gp14,HYO99_gp14,RDp01_gp14,-,-,-,RNAP1 protein,protein-coding,-,-,-,RNAP1 protein,20210424,-
1815984,55804723,HYO99_gp15,HYO99_gp15,RDp01_gp15,-,-,-,phosphate starvation protein PhoH,protein-coding,-,-,-,phosphate starvation protein PhoH,20210424,-
1815984,55804724,HYO99_gp16,HYO99_gp16,RDp01_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804725,HYO99_gp17,HYO99_gp17,RDp01_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804726,HYO99_gp18,HYO99_gp18,RDp01_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804727,HYO99_gp19,HYO99_gp19,RDp01_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804728,HYO99_gp20,HYO99_gp20,RDp01_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804729,HYO99_gp21,HYO99_gp21,RDp01_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804730,HYO99_gp22,HYO99_gp22,RDp01_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804731,HYO99_gp23,HYO99_gp23,RDp01_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804732,HYO99_gp24,HYO99_gp24,RDp01_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815984,55804733,HYO99_gp25,HYO99_gp25,RDp01_gp25,-,-,-,RNAP2 protein,protein-coding,-,-,-,RNAP2 protein,20200704,-
1815984,55804734,HYO99_gp26,HYO99_gp26,RDp01_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
