#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1463811,19487844,Hosp_02,Hosp_02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1463811,19487845,Hosp_03,Hosp_03,-,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20201221,-
1463811,19487846,Hosp_04,Hosp_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487847,Hosp_05,Hosp_05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487848,Hosp_06,Hosp_06,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1463811,19487849,Hosp_07,Hosp_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487850,Hosp_08,Hosp_08,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1463811,19487851,Hosp_09,Hosp_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487852,Hosp_010,Hosp_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487853,Hosp_011,Hosp_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487854,Hosp_012,Hosp_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487855,Hosp_013,Hosp_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487856,Hosp_014,Hosp_014,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1463811,19487857,Hosp_015,Hosp_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487858,Hosp_016,Hosp_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487859,Hosp_017,Hosp_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487860,Hosp_018,Hosp_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487861,Hosp_019,Hosp_019,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1463811,19487862,Hosp_020,Hosp_020,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1463811,19487863,Hosp_021,Hosp_021,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1463811,19487864,Hosp_022,Hosp_022,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463811,19487865,Hosp_023,Hosp_023,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463811,19487866,Hosp_024,Hosp_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487867,Hosp_025,Hosp_025,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1463811,19487868,Hosp_026,Hosp_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487869,Hosp_027,Hosp_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487870,Hosp_028,Hosp_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487871,Hosp_029,Hosp_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487872,Hosp_030,Hosp_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487873,Hosp_031,Hosp_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487874,Hosp_032,Hosp_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487875,Hosp_033,Hosp_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487876,Hosp_034,Hosp_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487877,Hosp_035,Hosp_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487878,Hosp_036,Hosp_036,-,-,-,-,HTH DNA binding domain,protein-coding,-,-,-,HTH DNA binding domain,20201221,-
1463811,19487879,Hosp_037,Hosp_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487880,Hosp_038,Hosp_038,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1463811,19487881,Hosp_039,Hosp_039,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1463811,19487882,Hosp_040,Hosp_040,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1463811,19487883,Hosp_041,Hosp_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487884,Hosp_042,Hosp_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487885,Hosp_043,Hosp_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487886,Hosp_044,Hosp_044,-,-,-,-,type III restriction helicase,protein-coding,-,-,-,type III restriction helicase,20201221,-
1463811,19487887,Hosp_045,Hosp_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487888,Hosp_046,Hosp_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487889,Hosp_047,Hosp_047,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201221,-
1463811,19487890,Hosp_048,Hosp_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487891,Hosp_049,Hosp_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487892,Hosp_050,Hosp_050,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1463811,19487893,Hosp_051,Hosp_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487894,Hosp_052,Hosp_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487895,Hosp_053,Hosp_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487896,Hosp_054,Hosp_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487897,Hosp_055,Hosp_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487898,Hosp_056,Hosp_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487899,Hosp_057,Hosp_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487900,Hosp_058,Hosp_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487901,Hosp_059,Hosp_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487902,Hosp_060,Hosp_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487903,Hosp_061,Hosp_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487904,Hosp_062,Hosp_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487905,Hosp_063,Hosp_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487906,Hosp_064,Hosp_064,-,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20201221,-
1463811,19487907,Hosp_065,Hosp_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487908,Hosp_066,Hosp_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487909,Hosp_067,Hosp_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487910,Hosp_068,Hosp_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487911,Hosp_069,Hosp_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1463811,19487912,Hosp_070,Hosp_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
