#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1223260,14515606,H380_gp02,H380_gp02,JBD30_002,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210424,-
1223260,14515607,H380_gp03,H380_gp03,JBD30_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515608,H380_gp04,H380_gp04,JBD30_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515609,H380_gp05,H380_gp05,JBD30_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515610,H380_gp06,H380_gp06,JBD30_006,-,-,-,Mu transposase C-terminal domain-containing protein,protein-coding,-,-,-,Mu transposase C-terminal domain-containing protein,20201221,-
1223260,14515611,H380_gp07,H380_gp07,JBD30_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515612,H380_gp08,H380_gp08,JBD30_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515613,H380_gp09,H380_gp09,JBD30_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515614,H380_gp10,H380_gp10,JBD30_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515615,H380_gp11,H380_gp11,JBD30_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515616,H380_gp12,H380_gp12,JBD30_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515617,H380_gp13,H380_gp13,JBD30_013,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210417,-
1223260,14515618,H380_gp14,H380_gp14,JBD30_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515619,H380_gp15,H380_gp15,JBD30_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515620,H380_gp16,H380_gp16,JBD30_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515621,H380_gp17,H380_gp17,JBD30_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515622,H380_gp18,H380_gp18,JBD30_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515623,H380_gp19,H380_gp19,JBD30_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515624,H380_gp20,H380_gp20,JBD30_020,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210403,-
1223260,14515625,H380_gp21,H380_gp21,JBD30_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1223260,14515626,H380_gp22,H380_gp22,JBD30_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515627,H380_gp23,H380_gp23,JBD30_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515628,H380_gp24,H380_gp24,JBD30_024,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1223260,14515629,H380_gp25,H380_gp25,JBD30_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515630,H380_gp26,H380_gp26,JBD30_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515631,H380_gp27,H380_gp27,JBD30_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515632,H380_gp28,H380_gp28,JBD30_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515633,H380_gp29,H380_gp29,JBD30_029,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210417,-
1223260,14515634,H380_gp30,H380_gp30,JBD30_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223260,14515635,H380_gp31,H380_gp31,JBD30_031,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1223260,14515636,H380_gp32,H380_gp32,JBD30_032,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201221,-
1223260,14515637,H380_gp33,H380_gp33,JBD30_033,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1223260,14515638,H380_gp34,H380_gp34,JBD30_034,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201221,-
1223260,14515639,H380_gp35,H380_gp35,JBD30_035,-,-,-,anti-CRISPR protein AcrF1,protein-coding,-,-,-,anti-CRISPR protein AcrF1,20201221,-
1223260,14515640,H380_gp36,H380_gp36,JBD30_036,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20201221,-
