#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094892,11256656,mg519,MegaChil _gp0519,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200629,-
1094892,11256657,mg956,MegaChil _gp0956,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256658,mg312,MegaChil _gp0312,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256659,mg38,MegaChil _gp0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256660,mg411,MegaChil _gp0411,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256661,mg416,MegaChil _gp0416,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256662,mg19,MegaChil _gp0019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256663,mg276,MegaChil _gp0276,-,-,-,-,guanine nucleotide exchange factor,protein-coding,-,-,-,guanine nucleotide exchange factor,20200629,-
1094892,11256664,mg997,MegaChil _gp0997,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256665,mg101,MegaChil _gp0101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256666,mg20,MegaChil _gp0020,-,-,-,-,macrocin o-methyltransferase,protein-coding,-,-,-,macrocin o-methyltransferase,20200629,-
1094892,11256667,mg886,MegaChil _gp0886,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256668,mg254,MegaChil _gp0254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256669,mg559,MegaChil _gp0559,-,-,-,-,putative ribonuclease 3,protein-coding,-,-,-,putative ribonuclease 3,20200629,-
1094892,11256670,mg591,MegaChil _gp0591,-,-,-,-,putative formamidopyrimidine-DNA glycosylase,protein-coding,-,-,-,putative formamidopyrimidine-DNA glycosylase,20200629,-
1094892,11256671,mg1100,MegaChil _gp1100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256672,mg919,MegaChil _gp0919,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256673,mg1105,MegaChil _gp1105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256674,mg159,MegaChil _gp0159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256675,mg690,MegaChil _gp0690,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256676,mg946,MegaChil _gp0946,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256677,mg1096,MegaChil _gp1096,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11256678,mg942,MegaChil _gp0942,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256679,mg1035,MegaChil _gp1035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256680,mg179,MegaChil _gp0179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256681,mg819,MegaChil _gp0819,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256682,mg883,MegaChil _gp0883,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256683,mg278,MegaChil _gp0278,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256684,mg363,MegaChil _gp0363,-,-,-,-,putative WD repeat-containing protein,protein-coding,-,-,-,putative WD repeat-containing protein,20200629,-
1094892,11256685,mg1083,MegaChil _gp1083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256686,mg1071,MegaChil _gp1071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256687,mg421,MegaChil _gp0421,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256688,mg850,MegaChil _gp0850,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256689,mg586,MegaChil _gp0586,-,-,-,-,putative DNA polymerase family X protein,protein-coding,-,-,-,putative DNA polymerase family X protein,20200629,-
1094892,11256690,mg545,MegaChil _gp0545,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256691,mg211,MegaChil _gp0211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256692,mg745,MegaChil _gp0745,-,-,-,-,putative glucosamine-fructose-6-phosphate aminotransferase,protein-coding,-,-,-,putative glucosamine-fructose-6-phosphate aminotransferase,20200629,-
1094892,11256693,mg212,MegaChil _gp0212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256694,mg283,MegaChil _gp0283,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256695,mg333,MegaChil _gp0333,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256696,mg385,MegaChil _gp0385,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11256697,mg1101,MegaChil _gp1101,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11256698,mg672,MegaChil _gp0672,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11256699,mg995,MegaChil _gp0995,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11256700,mg589,MegaChil _gp0589,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
