#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527513,23678702,2,VC71_gp002,PBI_MINERVA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1527513,23678703,3,VC71_gp003,PBI_MINERVA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678704,4,VC71_gp004,PBI_MINERVA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678705,5,VC71_gp005,PBI_MINERVA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678706,6,VC71_gp006,PBI_MINERVA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678707,7,VC71_gp007,PBI_MINERVA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678708,8,VC71_gp008,PBI_MINERVA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678709,9,VC71_gp009,PBI_MINERVA_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1527513,23678710,10,VC71_gp010,PBI_MINERVA_10,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200927,-
1527513,23678711,11,VC71_gp011,PBI_MINERVA_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1527513,23678712,12,VC71_gp012,PBI_MINERVA_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1527513,23678713,13,VC71_gp013,PBI_MINERVA_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1527513,23678714,14,VC71_gp014,PBI_MINERVA_14,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201026,-
1527513,23678715,15,VC71_gp015,PBI_MINERVA_15,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20200927,-
1527513,23678716,16,VC71_gp016,PBI_MINERVA_16,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200927,-
1527513,23678717,17,VC71_gp017,PBI_MINERVA_17,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1527513,23678718,18,VC71_gp018,PBI_MINERVA_18,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1527513,23678719,19,VC71_gp019,PBI_MINERVA_19,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1527513,23678720,20,VC71_gp020,PBI_MINERVA_20,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200927,-
1527513,23678721,21,VC71_gp021,PBI_MINERVA_21,-,-,-,UDP-glucose dehydrogenase,protein-coding,-,-,-,UDP-glucose dehydrogenase,20200927,-
1527513,23678722,22,VC71_gp022,PBI_MINERVA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678723,23,VC71_gp023,PBI_MINERVA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678724,24,VC71_gp024,PBI_MINERVA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678725,25,VC71_gp025,PBI_MINERVA_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1527513,23678726,26,VC71_gp026,PBI_MINERVA_26,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1527513,23678727,27,VC71_gp027,PBI_MINERVA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678728,28,VC71_gp028,PBI_MINERVA_28,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1527513,23678729,29,VC71_gp029,PBI_MINERVA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678730,30,VC71_gp030,PBI_MINERVA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527513,23678731,31,VC71_gp031,PBI_MINERVA_31,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1527513,23678732,33,VC71_gp032,PBI_MINERVA_33,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1527513,23678733,34,VC71_gp034,PBI_MINERVA_34,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1527513,23678734,32,VC71_gp033,PBI_MINERVA_32,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1527513,23678735,35,VC71_gp035,PBI_MINERVA_35,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200927,-
1527513,23678736,36,VC71_gp036,PBI_MINERVA_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678737,37,VC71_gp037,PBI_MINERVA_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527513,23678738,38,VC71_gp038,PBI_MINERVA_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
