#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713327,55628444,HWD19_gp02,HWD19_gp02,yarpen_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2713327,55628445,HWD19_gp03,HWD19_gp03,yarpen_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628446,HWD19_gp04,HWD19_gp04,yarpen_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628447,HWD19_gp05,HWD19_gp05,yarpen_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628448,HWD19_gp06,HWD19_gp06,yarpen_6,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210129,-
2713327,55628449,HWD19_gp07,HWD19_gp07,yarpen_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713327,55628450,HWD19_gp08,HWD19_gp08,yarpen_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628451,HWD19_gp09,HWD19_gp09,yarpen_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628452,HWD19_gp10,HWD19_gp10,yarpen_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628453,HWD19_gp11,HWD19_gp11,yarpen_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628454,HWD19_gp12,HWD19_gp12,yarpen_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628455,HWD19_gp13,HWD19_gp13,yarpen_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713327,55628456,HWD19_gp14,HWD19_gp14,yarpen_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
