#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500556,62681219,JT332_gp02,JT332_gp02,CPT_Season12_002,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210424,-
2500556,62681220,JT332_gp03,JT332_gp03,CPT_Season12_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681221,JT332_gp04,JT332_gp04,CPT_Season12_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681222,JT332_gp05,JT332_gp05,CPT_Season12_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681223,JT332_gp06,JT332_gp06,CPT_Season12_006,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210425,-
2500556,62681224,JT332_gp07,JT332_gp07,CPT_Season12_007,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20210417,-
2500556,62681225,JT332_gp08,JT332_gp08,CPT_Season12_008,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
2500556,62681226,JT332_gp09,JT332_gp09,CPT_Season12_009,-,-,-,putative nuclease,protein-coding,-,-,-,putative nuclease,20210313,-
2500556,62681227,JT332_gp10,JT332_gp10,CPT_Season12_010,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2500556,62681228,JT332_gp11,JT332_gp11,CPT_Season12_011,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210313,-
2500556,62681229,JT332_gp12,JT332_gp12,CPT_Season12_012,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210425,-
2500556,62681230,JT332_gp13,JT332_gp13,CPT_Season12_013,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20210425,-
2500556,62681231,JT332_gp14,JT332_gp14,CPT_Season12_014,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2500556,62681232,JT332_gp15,JT332_gp15,CPT_Season12_015,-,-,-,capsid assembly protease,protein-coding,-,-,-,capsid assembly protease,20210424,-
2500556,62681233,JT332_gp16,JT332_gp16,CPT_Season12_016,-,-,-,lambda D-like capsid decorator protein,protein-coding,-,-,-,lambda D-like capsid decorator protein,20210425,-
2500556,62681234,JT332_gp17,JT332_gp17,CPT_Season12_017,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2500556,62681235,JT332_gp18,JT332_gp18,CPT_Season12_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681236,JT332_gp19,JT332_gp19,CPT_Season12_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681237,JT332_gp20,JT332_gp20,CPT_Season12_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681238,JT332_gp21,JT332_gp21,CPT_Season12_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500556,62681239,JT332_gp22,JT332_gp22,CPT_Season12_022,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210215,-
2500556,62681240,JT332_gp23,JT332_gp23,CPT_Season12_023,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210215,-
2500556,62681241,JT332_gp24,JT332_gp24,CPT_Season12_024,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210215,-
2500556,62681242,JT332_gp25,JT332_gp25,CPT_Season12_025,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2500556,62681243,JT332_gp26,JT332_gp26,CPT_Season12_026,-,-,-,putative distal tail protein,protein-coding,-,-,-,putative distal tail protein,20210215,-
2500556,62681244,JT332_gp27,JT332_gp27,CPT_Season12_027,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210313,-
