#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1958910,60333716,2,I5H87_gp02,PBI_SassyB_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
1958910,60333717,3,I5H87_gp03,PBI_SassyB_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1958910,60333718,4,I5H87_gp04,PBI_SassyB_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
1958910,60333719,5,I5H87_gp05,PBI_SassyB_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
1958910,60333720,6,I5H87_gp06,PBI_SassyB_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1958910,60333721,7,I5H87_gp07,PBI_SassyB_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1958910,60333722,8,I5H87_gp08,PBI_SassyB_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1958910,60333723,9,I5H87_gp09,PBI_SassyB_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1958910,60333724,10,I5H87_gp10,PBI_SassyB_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1958910,60333725,11,I5H87_gp11,PBI_SassyB_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
1958910,60333726,13,I5H87_gp12,PBI_SassyB_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1958910,60333727,14,I5H87_gp14,PBI_SassyB_14,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20210424,-
1958910,60333728,12,I5H87_gp13,PBI_SassyB_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1958910,60333729,15,I5H87_gp15,PBI_SassyB_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333730,16,I5H87_gp16,PBI_SassyB_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333731,17,I5H87_gp17,PBI_SassyB_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333732,18,I5H87_gp18,PBI_SassyB_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333733,19,I5H87_gp19,PBI_SassyB_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1958910,60333734,20,I5H87_gp20,PBI_SassyB_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333735,21,I5H87_gp21,PBI_SassyB_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333736,22,I5H87_gp22,PBI_SassyB_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333737,23,I5H87_gp23,PBI_SassyB_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333738,24,I5H87_gp24,PBI_SassyB_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1958910,60333739,25,I5H87_gp25,PBI_SassyB_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
1958910,60333740,26,I5H87_gp26,PBI_SassyB_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333741,27,I5H87_gp27,PBI_SassyB_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333742,28,I5H87_gp28,PBI_SassyB_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333743,29,I5H87_gp29,PBI_SassyB_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333744,30,I5H87_gp30,PBI_SassyB_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1958910,60333745,31,I5H87_gp31,PBI_SassyB_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
1958910,60333746,32,I5H87_gp32,PBI_SassyB_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1958910,60333747,33,I5H87_gp33,PBI_SassyB_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958910,60333748,34,I5H87_gp34,PBI_SassyB_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333749,35,I5H87_gp35,PBI_SassyB_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201129,-
1958910,60333750,36,I5H87_gp36,PBI_SassyB_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333751,37,I5H87_gp37,PBI_SassyB_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333752,38,I5H87_gp38,PBI_SassyB_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333753,39,I5H87_gp39,PBI_SassyB_39,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1958910,60333754,40,I5H87_gp40,PBI_SassyB_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1958910,60333755,41,I5H87_gp41,PBI_SassyB_41,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1958910,60333756,42,I5H87_gp42,PBI_SassyB_42,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210403,-
