#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
396595,9406613,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20190925,-
396595,29653879,TK90_RS02875,TK90_RS02875,TK90_R0016,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654038,TK90_RS09720,TK90_RS09720,TK90_R0045,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654179,TK90_RS06240,TK90_RS06240,TK90_R0035,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654216,TK90_RS12375,TK90_RS12375,TK90_R0053,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654237,TK90_RS05235,TK90_RS05235,TK90_R0029,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654274,TK90_RS08035,TK90_RS08035,TK90_R0042,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654358,TK90_RS08115,TK90_RS08115,TK90_R0043,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654483,TK90_RS07685,TK90_RS07685,TK90_R0040,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654522,TK90_RS04620,TK90_RS04620,TK90_R0027,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654575,TK90_RS06160,TK90_RS06160,TK90_R0034,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654580,TK90_RS04830,TK90_RS04830,TK90_R0028,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654686,TK90_RS07635,TK90_RS07635,TK90_R0038,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654691,TK90_RS02870,TK90_RS02870,TK90_R0015,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654774,TK90_RS03030,TK90_RS03030,TK90_R0019,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
396595,29654823,TK90_RS07680,TK90_RS07680,TK90_R0039,-,-,-,tRNA,tRNA,-,-,-,-,20161019,-
