#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
710243,19223354,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Colletotrichum acutatum var. fioriniae; Glomerella acutata var. fioriniae; Glomerella fioriniae).,other,-,-,-,-,20200210,-
710243,27438929,trnC-GCA,A7F09_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438930,cox1,A7F09_gp15,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20160805,-
710243,27438931,trnR-TCT,A7F09_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438932,nad1,A7F09_gp14,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20160805,-
710243,27438933,nad4,A7F09_gp13,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20160805,-
710243,27438934,trnC-GCA,A7F09_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438935,atp8,A7F09_gp12,-,-,MT,-,ATP synthase 8,protein-coding,-,-,-,ATP synthase subunit 8,20160805,-
710243,27438936,atp6,A7F09_gp11,-,-,MT,-,ATP synthase 6,protein-coding,-,-,-,ATP synthase 6|ATP synthase subunit 6,20160805,-
710243,27438937,trnR-ACG,A7F09_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438938,A7F09_gr01,A7F09_gr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20160507,-
710243,27438939,trnN-GTT,A7F09_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438940,cox3,A7F09_gp10,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20160805,-
710243,27438941,trnG-TCC,A7F09_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438942,trnD-GTC,A7F09_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438943,trnS-GCT,A7F09_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438944,nad6,A7F09_gp09,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20160805,-
710243,27438945,trnV-TAC,A7F09_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438946,trnW-TCA,A7F09_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438947,trnI-GAT,A7F09_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438948,trnS-TGA,A7F09_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438949,trnP-TGG,A7F09_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438950,rps3,A7F09_gp08,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,-,20160805,-
710243,27438951,trnT-TGT,A7F09_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438952,trnE-TTC,A7F09_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438953,trnM-CAT,A7F09_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438954,trnM-CAT,A7F09_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438955,trnL-TAA,A7F09_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438956,trnA-TGC,A7F09_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438957,trnF-GAA,A7F09_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438958,trnL-TAG,A7F09_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438959,trnQ-TTG,A7F09_gt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438960,trnH-GTG,A7F09_gt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438961,trnM-CAT,A7F09_gt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438962,nad2,A7F09_gp07,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20160805,-
710243,27438963,nad3,A7F09_gp06,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20160805,-
710243,27438964,trnK-TTT,A7F09_gt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438965,atp9,A7F09_gp05,-,-,MT,-,ATP synthase 9,protein-coding,-,-,-,ATP synthase 9|ATP synthase subunit 9,20170908,-
710243,27438966,cox2,A7F09_gp04,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20160805,-
710243,27438967,trnN-GTT,A7F09_gt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438968,trnR-ACG,A7F09_gt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438969,nad4L,A7F09_gp03,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170908,-
710243,27438970,nad5,A7F09_gp02,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160805,-
710243,27438971,trnK-TTT,A7F09_gt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438972,trnY-GTA,A7F09_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20160507,-
710243,27438973,cob,A7F09_gp01,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,-,20170908,-
