#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059855,55606422,HWB42_gp02,HWB42_gp02,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210424,-
2059855,55606423,HWB42_gp03,HWB42_gp03,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210424,-
2059855,55606424,HWB42_gp04,HWB42_gp04,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2059855,55606425,HWB42_gp05,HWB42_gp05,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2059855,55606426,HWB42_gp06,HWB42_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606427,HWB42_gp07,HWB42_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606428,HWB42_gp08,HWB42_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606429,HWB42_gp09,HWB42_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606430,HWB42_gp10,HWB42_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606431,HWB42_gp11,HWB42_gp11,-,-,-,-,tail terminator protein,protein-coding,-,-,-,tail terminator protein,20210424,-
2059855,55606432,HWB42_gp12,HWB42_gp12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2059855,55606433,HWB42_gp13,HWB42_gp13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2059855,55606434,HWB42_gp14,HWB42_gp14,-,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20210424,-
2059855,55606435,HWB42_gp15,HWB42_gp15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2059855,55606436,HWB42_gp16,HWB42_gp16,-,-,-,-,baseplate wedge subunit and tail pin protein,protein-coding,-,-,-,baseplate wedge subunit and tail pin protein,20210424,-
2059855,55606437,HWB42_gp17,HWB42_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606438,HWB42_gp18,HWB42_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606439,HWB42_gp19,HWB42_gp19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2059855,55606440,HWB42_gp20,HWB42_gp20,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210424,-
2059855,55606441,HWB42_gp21,HWB42_gp21,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210424,-
2059855,55606442,HWB42_gp22,HWB42_gp22,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
2059855,55606443,HWB42_gp23,HWB42_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606444,HWB42_gp24,HWB42_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606445,HWB42_gp25,HWB42_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606446,HWB42_gp26,HWB42_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606447,HWB42_gp27,HWB42_gp27,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2059855,55606448,HWB42_gp28,HWB42_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606449,HWB42_gp29,HWB42_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606450,HWB42_gp30,HWB42_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606451,HWB42_gp31,HWB42_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606452,HWB42_gp32,HWB42_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606453,HWB42_gp33,HWB42_gp33,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200620,-
2059855,55606454,HWB42_gp34,HWB42_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606455,HWB42_gp35,HWB42_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606456,HWB42_gp36,HWB42_gp36,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2059855,55606457,HWB42_gp37,HWB42_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606458,HWB42_gp38,HWB42_gp38,-,-,-,-,RNA helicase,protein-coding,-,-,-,RNA helicase,20210424,-
2059855,55606459,HWB42_gp39,HWB42_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606460,HWB42_gp40,HWB42_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606461,HWB42_gp41,HWB42_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606462,HWB42_gp42,HWB42_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606463,HWB42_gp43,HWB42_gp43,-,-,-,-,nucleotide-binding protein,protein-coding,-,-,-,nucleotide-binding protein,20210424,-
2059855,55606464,HWB42_gp44,HWB42_gp44,-,-,-,-,Cas system-associated protein,protein-coding,-,-,-,Cas system-associated protein,20210424,-
2059855,55606465,HWB42_gp45,HWB42_gp45,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2059855,55606466,HWB42_gp46,HWB42_gp46,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
2059855,55606467,HWB42_gp47,HWB42_gp47,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
2059855,55606468,HWB42_gp48,HWB42_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059855,55606469,HWB42_gp49,HWB42_gp49,-,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20210424,-
2059855,55606470,HWB42_gp50,HWB42_gp50,-,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210424,-
2059855,55606471,HWB42_gp51,HWB42_gp51,-,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210424,-
