#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2030922,40089654,FDI48_gp02,FDI48_gp02,phiSHEF2_02,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2030922,40089655,FDI48_gp03,FDI48_gp03,phiSHEF2_03,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2030922,40089656,FDI48_gp04,FDI48_gp04,phiSHEF2_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089657,FDI48_gp05,FDI48_gp05,phiSHEF2_05,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2030922,40089658,FDI48_gp06,FDI48_gp06,phiSHEF2_06,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201221,-
2030922,40089659,FDI48_gp07,FDI48_gp07,phiSHEF2_07,-,-,-,capsid family protein,protein-coding,-,-,-,capsid family protein,20201221,-
2030922,40089660,FDI48_gp08,FDI48_gp08,phiSHEF2_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089661,FDI48_gp09,FDI48_gp09,phiSHEF2_09,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
2030922,40089662,FDI48_gp10,FDI48_gp10,phiSHEF2_10,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20210424,-
2030922,40089663,FDI48_gp11,FDI48_gp11,phiSHEF2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2030922,40089664,FDI48_gp12,FDI48_gp12,phiSHEF2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089665,FDI48_gp13,FDI48_gp13,phiSHEF2_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2030922,40089666,FDI48_gp14,FDI48_gp14,phiSHEF2_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089667,FDI48_gp15,FDI48_gp15,phiSHEF2_15,-,-,-,chromosome partition protein,protein-coding,-,-,-,chromosome partition protein,20201221,-
2030922,40089668,FDI48_gp16,FDI48_gp16,phiSHEF2_16,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210424,-
2030922,40089669,FDI48_gp17,FDI48_gp17,phiSHEF2_17,-,-,-,endopeptidase tail,protein-coding,-,-,-,endopeptidase tail,20201221,-
2030922,40089670,FDI48_gp18,FDI48_gp18,phiSHEF2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089671,FDI48_gp19,FDI48_gp19,phiSHEF2_19,-,-,-,hemolysin,protein-coding,-,-,-,hemolysin,20201221,-
2030922,40089672,FDI48_gp20,FDI48_gp20,phiSHEF2_20,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2030922,40089673,FDI48_gp21,FDI48_gp21,phiSHEF2_21,-,-,-,autolysin,protein-coding,-,-,-,autolysin,20201221,-
2030922,40089674,FDI48_gp22,FDI48_gp22,phiSHEF2_22,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20210417,-
2030922,40089675,FDI48_gp23,FDI48_gp23,phiSHEF2_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089676,FDI48_gp24,FDI48_gp24,phiSHEF2_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089677,FDI48_gp25,FDI48_gp25,phiSHEF2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089678,FDI48_gp26,FDI48_gp26,phiSHEF2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089679,FDI48_gp27,FDI48_gp27,phiSHEF2_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089680,FDI48_gp28,FDI48_gp28,phiSHEF2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089681,FDI48_gp29,FDI48_gp29,phiSHEF2_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089682,FDI48_gp30,FDI48_gp30,phiSHEF2_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089683,FDI48_gp31,FDI48_gp31,phiSHEF2_31,-,-,-,beta-lactamase superfamily domain protein,protein-coding,-,-,-,beta-lactamase superfamily domain protein,20201221,-
2030922,40089684,FDI48_gp32,FDI48_gp32,phiSHEF2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089685,FDI48_gp33,FDI48_gp33,phiSHEF2_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089686,FDI48_gp34,FDI48_gp34,phiSHEF2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089687,FDI48_gp35,FDI48_gp35,phiSHEF2_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089688,FDI48_gp36,FDI48_gp36,phiSHEF2_36,-,-,-,NUMOD4 motif protein,protein-coding,-,-,-,NUMOD4 motif protein,20201221,-
2030922,40089689,FDI48_gp37,FDI48_gp37,phiSHEF2_37,-,-,-,bifunctional DNA primase/polymerase,protein-coding,-,-,-,bifunctional DNA primase/polymerase,20201221,-
2030922,40089690,FDI48_gp38,FDI48_gp38,phiSHEF2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089691,FDI48_gp39,FDI48_gp39,phiSHEF2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089692,FDI48_gp40,FDI48_gp40,phiSHEF2_40,-,-,-,SNF2 family N-terminal domain protein,protein-coding,-,-,-,SNF2 family N-terminal domain protein,20201221,-
2030922,40089693,FDI48_gp41,FDI48_gp41,phiSHEF2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089694,FDI48_gp42,FDI48_gp42,phiSHEF2_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089695,FDI48_gp43,FDI48_gp43,phiSHEF2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089696,FDI48_gp44,FDI48_gp44,phiSHEF2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089697,FDI48_gp45,FDI48_gp45,phiSHEF2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089698,FDI48_gp46,FDI48_gp46,phiSHEF2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089699,FDI48_gp47,FDI48_gp47,phiSHEF2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089700,FDI48_gp48,FDI48_gp48,phiSHEF2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089701,FDI48_gp49,FDI48_gp49,phiSHEF2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089702,FDI48_gp50,FDI48_gp50,phiSHEF2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089703,FDI48_gp51,FDI48_gp51,phiSHEF2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089704,FDI48_gp52,FDI48_gp52,phiSHEF2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089705,FDI48_gp53,FDI48_gp53,phiSHEF2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2030922,40089706,FDI48_gp54,FDI48_gp54,phiSHEF2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
