#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204541,40084647,FDI19_gp02,FDI19_gp02,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1204541,40084648,FDI19_gp03,FDI19_gp03,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200629,-
1204541,40084649,FDI19_gp04,FDI19_gp04,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1204541,40084650,FDI19_gp05,FDI19_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084651,FDI19_gp06,FDI19_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084652,FDI19_gp07,FDI19_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084653,FDI19_gp08,FDI19_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084654,FDI19_gp09,FDI19_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084655,FDI19_gp10,FDI19_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084656,FDI19_gp11,FDI19_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084657,FDI19_gp12,FDI19_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084658,FDI19_gp13,FDI19_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204541,40084659,FDI19_gp14,FDI19_gp14,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200629,-
1204541,40084660,FDI19_gp15,FDI19_gp15,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1204541,40084661,FDI19_gp16,FDI19_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
