#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1622191,26794009,AXJ11_gp02,AXJ11_gp02,GordDuk1_2,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1622191,26794010,AXJ11_gp03,AXJ11_gp03,GordDuk1_3,-,-,-,DUF935-like protein,protein-coding,-,-,-,DUF935-like protein,20201221,-
1622191,26794011,AXJ11_gp04,AXJ11_gp04,GordDuk1_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794012,AXJ11_gp05,AXJ11_gp05,GordDuk1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794013,AXJ11_gp06,AXJ11_gp06,GordDuk1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794014,AXJ11_gp07,AXJ11_gp07,GordDuk1_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1622191,26794015,AXJ11_gp08,AXJ11_gp08,GordDuk1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794016,AXJ11_gp09,AXJ11_gp09,GordDuk1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794017,AXJ11_gp10,AXJ11_gp10,GordDuk1_10,-,-,-,morphogensis protein,protein-coding,-,-,-,morphogensis protein,20201221,-
1622191,26794018,AXJ11_gp11,AXJ11_gp11,GordDuk1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794019,AXJ11_gp12,AXJ11_gp12,GordDuk1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794020,AXJ11_gp13,AXJ11_gp13,GordDuk1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1622191,26794021,AXJ11_gp14,AXJ11_gp14,GordDuk1_15,-,-,-,pre-TMP frameshift protein,protein-coding,-,-,-,pre-TMP frameshift protein,20201221,-
1622191,26794022,AXJ11_gp15,AXJ11_gp15,GordDuk1_14,-,-,-,pre-TMP frameshift protein,protein-coding,-,-,-,pre-TMP frameshift protein,20201221,-
1622191,26794023,AXJ11_gp17,AXJ11_gp17,GordDuk1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
