#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1932931,10322557,MV02,Mvrk_gpp02,-,-,-,-,putative rve super family integrase,protein-coding,-,-,-,putative rve super family integrase,20201221,-
1932931,10322558,MV03,Mvrk_gpp03,-,-,-,-,putative protein-primed B-family DNA polymerase,protein-coding,-,-,-,putative protein-primed B-family DNA polymerase,20201221,-
1932931,10322559,MV04,Mvrk_gpp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322560,MV05,Mvrk_gpp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322561,MV06,Mvrk_gpp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322562,MV07,Mvrk_gpp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322563,MV08,Mvrk_gpp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322564,MV09,Mvrk_gpp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322565,MV10,Mvrk_gpp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322566,MV11,Mvrk_gpp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322567,MV12,Mvrk_gpp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322568,MV13,Mvrk_gpp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322569,MV14,Mvrk_gpp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322570,MV15,Mvrk_gpp15,-,-,-,-,putative FtsK-HerA family ATPase,protein-coding,-,-,-,putative FtsK-HerA family ATPase,20201221,-
1932931,10322571,MV16,Mvrk_gpp16,-,-,-,-,putative cysteine protease,protein-coding,-,-,-,putative cysteine protease,20201221,-
1932931,10322572,MV17,Mvrk_gpp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322573,MV18,Mvrk_gpp18,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1932931,10322574,MV19,Mvrk_gpp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322575,MV20,Mvrk_gpp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932931,10322576,MV01,Mvrk_gpp01,-,-,-,-,putative superfamily 3 helicase,protein-coding,-,-,-,putative superfamily 3 helicase,20201221,-
1932931,30853552,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
