#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229791,13826985,2,D293_gp02,P1001_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229791,13826986,3,D293_gp03,P1001_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229791,13826987,4,D293_gp04,P1001_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13826988,5,D293_gp05,P1001_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229791,13826989,6,D293_gp06,P1001_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229791,13826990,7,D293_gp07,P1001_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229791,13826991,8,D293_gp08,P1001_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13826992,9,D293_gp09,P1001_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13826993,10,D293_gp10,P1001_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13826994,11,D293_gp11,P1001_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229791,13826995,13,D293_gp12,P1001_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229791,13826996,14,D293_gp14,P1001_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229791,13826997,12,D293_gp13,P1001_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229791,13826998,15,D293_gp15,P1001_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229791,13826999,16,D293_gp16,P1001_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229791,13827000,17,D293_gp17,P1001_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229791,13827001,18,D293_gp18,P1001_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827002,19,D293_gp19,P1001_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229791,13827003,20,D293_gp20,P1001_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229791,13827004,21,D293_gp21,P1001_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229791,13827005,22,D293_gp22,P1001_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827006,23,D293_gp23,P1001_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229791,13827007,24,D293_gp24,P1001_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
