#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
256729,2943445,LDVICp043,LDVICp043,LDVICgp3,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
256729,2943446,LDVICp171,LDVICp171,LDVICgp5,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20210212,-
256729,2943447,LDVICp190,LDVICp190,LDVICgp6,-,-,-,DNA-dependent RNA polymerase beta subunit,protein-coding,-,-,-,DNA-dependent RNA polymerase beta subunit,20201220,-
256729,2943448,LDVICp086,LDVICp086,LDVICgp4,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201220,-
256729,2943449,LDVICp034,LDVICp034,LDVICgp2,-,-,-,early iridovirus protein,protein-coding,-,-,-,early iridovirus protein,20201220,-
256729,2943450,LDVICp003,LDVICp003,LDVICgp1,-,-,-,3-beta hydroxysteroid dehydrogenase/isomerase family,protein-coding,-,-,-,3-beta hydroxysteroid dehydrogenase/isomerase family,20210320,-
256729,2978944,LDVICp177,LDVICp177,-,-,-,-,Mn2+ dependent serine/threonine protein kinase,protein-coding,-,-,-,Mn2+ dependent serine/threonine protein kinase,20210320,-
256729,2978945,LDVICp093,LDVICp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978946,LDVICp087,LDVICp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978947,LDVICp135,LDVICp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978948,LDVICp027,LDVICp027,-,-,-,-,deoxynucleoside kinases,protein-coding,-,-,-,deoxynucleoside kinases,20210320,-
256729,2978949,LDVICp211,LDVICp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978950,LDVICp139,LDVICp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978951,LDVICp199,LDVICp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978952,LDVICp007,LDVICp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2978953,LDVICp209,LDVICp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978954,LDVICp213,LDVICp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978955,LDVICp127,LDVICp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978956,LDVICp143,LDVICp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978957,LDVICp134,LDVICp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978958,LDVICp101,LDVICp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2978959,LDVICp232,LDVICp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978960,LDVICp098,LDVICp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978961,LDVICp001,LDVICp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978962,LDVICp006,LDVICp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978963,LDVICp018,LDVICp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978964,LDVICp239,LDVICp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978965,LDVICp123,LDVICp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978966,LDVICp163,LDVICp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978967,LDVICp238,LDVICp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978968,LDVICp219,LDVICp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978969,LDVICp161,LDVICp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978970,LDVICp200,LDVICp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978971,LDVICp077,LDVICp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978972,LDVICp156,LDVICp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978973,LDVICp016,LDVICp016,-,-,-,-,tumor necrosis factor receptor,protein-coding,-,-,-,tumor necrosis factor receptor,20201220,-
256729,2978974,LDVICp079,LDVICp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978975,LDVICp105,LDVICp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978976,LDVICp125,LDVICp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978977,LDVICp072,LDVICp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978978,LDVICp215,LDVICp215,-,-,-,-,collagen triple helix repeat,protein-coding,-,-,-,collagen triple helix repeat,20210320,-
256729,2978979,LDVICp124,LDVICp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2978980,LDVICp228,LDVICp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978981,LDVICp226,LDVICp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978982,LDVICp202,LDVICp202,-,-,-,-,DNA polymerase elongation subunit family B,protein-coding,-,-,-,DNA polymerase elongation subunit family B,20210320,-
256729,2978983,LDVICp109,LDVICp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978984,LDVICp013,LDVICp013,-,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20210320,-
256729,2978985,LDVICp115,LDVICp115,-,-,-,-,DNA-directed RNA polymerase subunit M,protein-coding,-,-,-,DNA-directed RNA polymerase subunit M,20210320,-
256729,2978986,LDVICp028,LDVICp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978987,LDVICp113,LDVICp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978988,LDVICp044,LDVICp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978989,LDVICp042,LDVICp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978990,LDVICp045,LDVICp045,-,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20210320,-
256729,2978991,LDVICp111,LDVICp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978992,LDVICp178,LDVICp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978993,LDVICp146,LDVICp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978994,LDVICp147,LDVICp147,-,-,-,-,Catalytic domain of ctd-like phosphatases,protein-coding,-,-,-,Catalytic domain of ctd-like phosphatases,20210320,-
256729,2978995,LDVICp131,LDVICp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978996,LDVICp117,LDVICp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978997,LDVICp176,LDVICp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978998,LDVICp084,LDVICp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2978999,LDVICp011,LDVICp011,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210320,-
256729,2979000,LDVICp182,LDVICp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979001,LDVICp180,LDVICp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979002,LDVICp179,LDVICp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979003,LDVICp085,LDVICp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979004,LDVICp196,LDVICp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979005,LDVICp168,LDVICp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979006,LDVICp210,LDVICp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979007,LDVICp075,LDVICp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979008,LDVICp140,LDVICp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979009,LDVICp097,LDVICp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979010,LDVICp198,LDVICp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979011,LDVICp237,LDVICp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979012,LDVICp103,LDVICp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979013,LDVICp129,LDVICp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979014,LDVICp165,LDVICp165,-,-,-,-,major outer envelope glycoprotein-like protein,protein-coding,-,-,-,major outer envelope glycoprotein-like protein,20201220,-
256729,2979015,LDVICp015,LDVICp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979016,LDVICp074,LDVICp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979017,LDVICp229,LDVICp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979018,LDVICp223,LDVICp223,-,-,-,-,papain family cysteine protease,protein-coding,-,-,-,papain family cysteine protease,20210320,-
256729,2979019,LDVICp201,LDVICp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979020,LDVICp108,LDVICp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979021,LDVICp162,LDVICp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979022,LDVICp197,LDVICp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979023,LDVICp029,LDVICp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
256729,2979024,LDVICp221,LDVICp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979025,LDVICp091,LDVICp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979026,LDVICp225,LDVICp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979027,LDVICp222,LDVICp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979028,LDVICp205,LDVICp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979029,LDVICp004,LDVICp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979030,LDVICp005,LDVICp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979031,LDVICp030,LDVICp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979032,LDVICp175,LDVICp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979033,LDVICp195,LDVICp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
256729,2979034,LDVICp009,LDVICp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
