#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2583039,55618027,2,HWC33_gp02,SEA_TINYTIMOTHY_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210417,-
2583039,55618028,3,HWC33_gp03,SEA_TINYTIMOTHY_3,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201217,-
2583039,55618029,4,HWC33_gp04,SEA_TINYTIMOTHY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618030,5,HWC33_gp05,SEA_TINYTIMOTHY_5,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2583039,55618031,6,HWC33_gp06,SEA_TINYTIMOTHY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618032,7,HWC33_gp07,SEA_TINYTIMOTHY_7,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2583039,55618033,8,HWC33_gp08,SEA_TINYTIMOTHY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618034,9,HWC33_gp09,SEA_TINYTIMOTHY_9,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210417,-
2583039,55618035,10,HWC33_gp10,SEA_TINYTIMOTHY_10,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2583039,55618036,11,HWC33_gp11,SEA_TINYTIMOTHY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618037,12,HWC33_gp12,SEA_TINYTIMOTHY_12,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2583039,55618038,13,HWC33_gp13,SEA_TINYTIMOTHY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618039,14,HWC33_gp14,SEA_TINYTIMOTHY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618040,15,HWC33_gp15,SEA_TINYTIMOTHY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618041,16,HWC33_gp16,SEA_TINYTIMOTHY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618042,17,HWC33_gp17,SEA_TINYTIMOTHY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618043,18,HWC33_gp18,SEA_TINYTIMOTHY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618044,19,HWC33_gp19,SEA_TINYTIMOTHY_19,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2583039,55618045,20,HWC33_gp20,SEA_TINYTIMOTHY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618046,21,HWC33_gp21,SEA_TINYTIMOTHY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618047,22,HWC33_gp22,SEA_TINYTIMOTHY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618048,23,HWC33_gp23,SEA_TINYTIMOTHY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618049,24,HWC33_gp24,SEA_TINYTIMOTHY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618050,25,HWC33_gp25,SEA_TINYTIMOTHY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618051,26,HWC33_gp26,SEA_TINYTIMOTHY_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2583039,55618052,27,HWC33_gp27,SEA_TINYTIMOTHY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618053,28,HWC33_gp28,SEA_TINYTIMOTHY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618054,29,HWC33_gp29,SEA_TINYTIMOTHY_29,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2583039,55618055,30,HWC33_gp30,SEA_TINYTIMOTHY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618056,31,HWC33_gp31,SEA_TINYTIMOTHY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618057,32,HWC33_gp32,SEA_TINYTIMOTHY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618058,33,HWC33_gp33,SEA_TINYTIMOTHY_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2583039,55618059,34,HWC33_gp34,SEA_TINYTIMOTHY_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2583039,55618060,35,HWC33_gp35,SEA_TINYTIMOTHY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618061,36,HWC33_gp36,SEA_TINYTIMOTHY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618062,37,HWC33_gp37,SEA_TINYTIMOTHY_37,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2583039,55618063,38,HWC33_gp38,SEA_TINYTIMOTHY_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2583039,55618064,39,HWC33_gp39,SEA_TINYTIMOTHY_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2583039,55618065,40,HWC33_gp40,SEA_TINYTIMOTHY_40,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2583039,55618066,41,HWC33_gp41,SEA_TINYTIMOTHY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618067,42,HWC33_gp42,SEA_TINYTIMOTHY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618068,43,HWC33_gp43,SEA_TINYTIMOTHY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618069,44,HWC33_gp44,SEA_TINYTIMOTHY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618070,45,HWC33_gp45,SEA_TINYTIMOTHY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618071,46,HWC33_gp46,SEA_TINYTIMOTHY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618072,47,HWC33_gp47,SEA_TINYTIMOTHY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618073,48,HWC33_gp48,SEA_TINYTIMOTHY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618074,49,HWC33_gp49,SEA_TINYTIMOTHY_49,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2583039,55618075,50,HWC33_gp50,SEA_TINYTIMOTHY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618076,51,HWC33_gp51,SEA_TINYTIMOTHY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618077,52,HWC33_gp52,SEA_TINYTIMOTHY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618078,53,HWC33_gp53,SEA_TINYTIMOTHY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55618079,1,HWC33_gp01,SEA_TINYTIMOTHY_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2583039,55635950,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
