#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772068,65129320,KNV35_gp93,KNV35_gp93,-,-,-,-,nuclear pore complex-like protein,protein-coding,-,-,-,nuclear pore complex-like protein,20210608,-
2772068,65129321,KNV35_gp02,KNV35_gp02,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210608,-
2772068,65129322,KNV35_gp03,KNV35_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129323,KNV35_gp04,KNV35_gp04,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2772068,65129324,KNV35_gp05,KNV35_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129325,KNV35_gt01,KNV35_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772068,65129326,KNV35_gp92,KNV35_gp92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129327,KNV35_gp91,KNV35_gp91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129328,KNV35_gp90,KNV35_gp90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129329,KNV35_gp89,KNV35_gp89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129330,KNV35_gp88,KNV35_gp88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129331,KNV35_gp87,KNV35_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129332,KNV35_gp86,KNV35_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129333,KNV35_gp85,KNV35_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129334,KNV35_gp84,KNV35_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129335,KNV35_gp83,KNV35_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129336,KNV35_gp82,KNV35_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129337,KNV35_gp81,KNV35_gp81,-,-,-,-,VOG5334,protein-coding,-,-,-,VOG5334,20210608,-
2772068,65129338,KNV35_gp80,KNV35_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129339,KNV35_gp79,KNV35_gp79,-,-,-,-,proline utilization transcription activator,protein-coding,-,-,-,proline utilization transcription activator,20210608,-
2772068,65129340,KNV35_gp78,KNV35_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129341,KNV35_gp77,KNV35_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129342,KNV35_gp76,KNV35_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772068,65129343,KNV35_gp75,KNV35_gp75,-,-,-,-,cysteine proteinase,protein-coding,-,-,-,cysteine proteinase,20210608,-
