#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887654,29078269,2,SEA_TERAPIN_2,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1887654,29078270,3,SEA_TERAPIN_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078271,4,SEA_TERAPIN_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078272,5,SEA_TERAPIN_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078273,6,SEA_TERAPIN_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078274,7,SEA_TERAPIN_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078275,8,SEA_TERAPIN_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887654,29078276,9,SEA_TERAPIN_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078277,10,SEA_TERAPIN_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078278,11,SEA_TERAPIN_11,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1887654,29078279,12,SEA_TERAPIN_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078280,13,SEA_TERAPIN_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078281,14,SEA_TERAPIN_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078282,15,SEA_TERAPIN_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078283,16,SEA_TERAPIN_16,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1887654,29078284,17,SEA_TERAPIN_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078285,18,SEA_TERAPIN_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078286,19,SEA_TERAPIN_19,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1887654,29078287,20,SEA_TERAPIN_20,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1887654,29078288,21,SEA_TERAPIN_21,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1887654,29078289,22,SEA_TERAPIN_22,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1887654,29078290,23,SEA_TERAPIN_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887654,29078291,24,SEA_TERAPIN_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887654,29078292,25,SEA_TERAPIN_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887654,29078293,26,SEA_TERAPIN_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078294,27,SEA_TERAPIN_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887654,29078295,28,SEA_TERAPIN_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887654,29078296,29,SEA_TERAPIN_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1887654,29078297,30,SEA_TERAPIN_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1887654,29078298,31,SEA_TERAPIN_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078299,32,SEA_TERAPIN_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078300,33,SEA_TERAPIN_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078301,34,SEA_TERAPIN_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078302,35,SEA_TERAPIN_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078303,36,SEA_TERAPIN_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078304,37,SEA_TERAPIN_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078305,38,SEA_TERAPIN_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078306,39,SEA_TERAPIN_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887654,29078307,40,SEA_TERAPIN_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078308,41,SEA_TERAPIN_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078309,42,SEA_TERAPIN_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078310,43,SEA_TERAPIN_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078311,44,SEA_TERAPIN_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078312,45,SEA_TERAPIN_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078313,46,SEA_TERAPIN_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887654,29078314,47,SEA_TERAPIN_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
