#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
224915,2830975,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Buchnera aphidicola (subsp. Baizongia pistaciae)).,other,-,-,-,-,20200803,-
224915,56470545,mnmG,BBP_RS00005,bbp001|bbp_001,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,protein-coding,-,-,-,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,20200829,-
224915,56470546,atpB,BBP_RS00010,bbp002|bbp_002,-,-,-,F0F1 ATP synthase subunit A,protein-coding,-,-,-,F0F1 ATP synthase subunit A,20201110,-
224915,56470547,atpE,BBP_RS00015,bbp003|bbp_003,-,-,-,F0F1 ATP synthase subunit C,protein-coding,-,-,-,F0F1 ATP synthase subunit C,20201110,-
224915,56470548,BBP_RS00020,BBP_RS00020,bbp004|bbp_004,-,-,-,F0F1 ATP synthase subunit B,protein-coding,-,-,-,F0F1 ATP synthase subunit B,20200829,-
224915,56470549,BBP_RS00025,BBP_RS00025,bbp005|bbp_005,-,-,-,F0F1 ATP synthase subunit delta,protein-coding,-,-,-,F0F1 ATP synthase subunit delta,20200829,-
224915,56470550,BBP_RS00030,BBP_RS00030,bbp006|bbp_006,-,-,-,F0F1 ATP synthase subunit alpha,protein-coding,-,-,-,F0F1 ATP synthase subunit alpha,20201110,-
224915,56470551,atpG,BBP_RS00035,bbp007|bbp_007,-,-,-,ATP synthase F1 subunit gamma,protein-coding,-,-,-,ATP synthase F1 subunit gamma,20201110,-
224915,56470552,atpD,BBP_RS00040,bbp008|bbp_008,-,-,-,F0F1 ATP synthase subunit beta,protein-coding,-,-,-,F0F1 ATP synthase subunit beta,20201110,-
224915,56470553,atpC,BBP_RS00045,bbp009|bbp_009,-,-,-,F0F1 ATP synthase subunit epsilon,protein-coding,-,-,-,F0F1 ATP synthase subunit epsilon,20201110,-
224915,56470554,gyrB,BBP_RS00050,bbp010|bbp_010,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,protein-coding,-,-,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,20201010,-
224915,56470555,dnaN,BBP_RS00055,bbp011|bbp_011,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20200829,-
