#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315703,55611812,2,HWB89_gp02,SEA_BURRO_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2315703,55611813,3,HWB89_gp03,SEA_BURRO_3,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2315703,55611814,4,HWB89_gp04,SEA_BURRO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611815,5,HWB89_gp05,SEA_BURRO_5,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2315703,55611816,6,HWB89_gp06,SEA_BURRO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611817,7,HWB89_gp07,SEA_BURRO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611818,8,HWB89_gp08,SEA_BURRO_8,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20200620,-
2315703,55611819,9,HWB89_gp09,SEA_BURRO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611820,10,HWB89_gp10,SEA_BURRO_10,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2315703,55611821,11,HWB89_gp11,SEA_BURRO_11,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210424,-
2315703,55611822,12,HWB89_gp12,SEA_BURRO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611823,13,HWB89_gp13,SEA_BURRO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611824,14,HWB89_gp14,SEA_BURRO_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611825,15,HWB89_gp15,SEA_BURRO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611826,16,HWB89_gp16,SEA_BURRO_16,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2315703,55611827,17,HWB89_gp17,SEA_BURRO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611828,18,HWB89_gp18,SEA_BURRO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611829,19,HWB89_gp19,SEA_BURRO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611830,20,HWB89_gp20,SEA_BURRO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611831,21,HWB89_gp21,SEA_BURRO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611832,22,HWB89_gp22,SEA_BURRO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611833,23,HWB89_gp23,SEA_BURRO_23,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200620,-
2315703,55611834,24,HWB89_gp24,SEA_BURRO_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2315703,55611835,25,HWB89_gp25,SEA_BURRO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611836,26,HWB89_gp26,SEA_BURRO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611837,27,HWB89_gp27,SEA_BURRO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611838,28,HWB89_gp28,SEA_BURRO_28,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2315703,55611839,29,HWB89_gp29,SEA_BURRO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611840,30,HWB89_gp30,SEA_BURRO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611841,31,HWB89_gp31,SEA_BURRO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611842,32,HWB89_gp32,SEA_BURRO_32,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210424,-
2315703,55611843,33,HWB89_gp33,SEA_BURRO_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2315703,55611844,34,HWB89_gp34,SEA_BURRO_34,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2315703,55611845,35,HWB89_gp35,SEA_BURRO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611846,36,HWB89_gp36,SEA_BURRO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315703,55611847,37,HWB89_gp37,SEA_BURRO_37,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2315703,55611848,38,HWB89_gp38,SEA_BURRO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611849,39,HWB89_gp39,SEA_BURRO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611850,40,HWB89_gp40,SEA_BURRO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611851,41,HWB89_gp41,SEA_BURRO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611852,42,HWB89_gp42,SEA_BURRO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611853,43,HWB89_gp43,SEA_BURRO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611854,44,HWB89_gp44,SEA_BURRO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611855,45,HWB89_gp45,SEA_BURRO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611856,46,HWB89_gp46,SEA_BURRO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611857,47,HWB89_gp47,SEA_BURRO_47,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2315703,55611858,48,HWB89_gp48,SEA_BURRO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611859,49,HWB89_gp49,SEA_BURRO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55611860,1,HWB89_gp01,SEA_BURRO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315703,55635862,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
