#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041760,55003903,HOU26_gp02,HOU26_gp02,-,-,-,-,glycine cleavage system protein H,protein-coding,-,-,-,glycine cleavage system protein H,20201221,-
2041760,55003904,HOU26_gp03,HOU26_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003905,HOU26_gp04,HOU26_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003906,HOU26_gp05,HOU26_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003907,HOU26_gp06,HOU26_gp06,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210123,-
2041760,55003908,HOU26_gp07,HOU26_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003909,HOU26_gp08,HOU26_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041760,55003910,HOU26_gp09,HOU26_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003911,HOU26_gp10,HOU26_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003912,HOU26_gp11,HOU26_gp11,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210123,-
2041760,55003913,HOU26_gp12,HOU26_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003914,HOU26_gp13,HOU26_gp13,-,-,-,-,metal resistance protein,protein-coding,-,-,-,metal resistance protein,20201221,-
2041760,55003915,HOU26_gp14,HOU26_gp14,-,-,-,-,DUF2842 domain-containing protein,protein-coding,-,-,-,DUF2842 domain-containing protein,20201221,-
2041760,55003916,HOU26_gp15,HOU26_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003917,HOU26_gp16,HOU26_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003918,HOU26_gp17,HOU26_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003919,HOU26_gp18,HOU26_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041760,55003920,HOU26_gp19,HOU26_gp19,-,-,-,-,transporter,protein-coding,-,-,-,transporter,20201221,-
2041760,55003921,HOU26_gp20,HOU26_gp20,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210123,-
2041760,55003922,HOU26_gp21,HOU26_gp21,-,-,-,-,major fimbrial subunit,protein-coding,-,-,-,major fimbrial subunit,20201221,-
2041760,55003923,HOU26_gp22,HOU26_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041760,55003924,HOU26_gp23,HOU26_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
