#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575325,55615870,HWC19_gp02,HWC19_gp02,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200829,-
2575325,55615871,HWC19_gp03,HWC19_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615872,HWC19_gp04,HWC19_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615873,HWC19_gp05,HWC19_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615874,HWC19_gp06,HWC19_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615875,HWC19_gp07,HWC19_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615876,HWC19_gp08,HWC19_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615877,HWC19_gp09,HWC19_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615878,HWC19_gp10,HWC19_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615879,HWC19_gp11,HWC19_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615880,HWC19_gp12,HWC19_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615881,HWC19_gp13,HWC19_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615882,HWC19_gp14,HWC19_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615883,HWC19_gp15,HWC19_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615884,HWC19_gp16,HWC19_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615885,HWC19_gp17,HWC19_gp17,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210424,-
2575325,55615886,HWC19_gp18,HWC19_gp18,-,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20210424,-
2575325,55615887,HWC19_gp19,HWC19_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615888,HWC19_gp20,HWC19_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615889,HWC19_gp21,HWC19_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615890,HWC19_gp22,HWC19_gp22,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200620,-
2575325,55615891,HWC19_gp23,HWC19_gp23,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2575325,55615892,HWC19_gp24,HWC19_gp24,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200620,-
2575325,55615893,HWC19_gp25,HWC19_gp25,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2575325,55615894,HWC19_gp26,HWC19_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615895,HWC19_gp27,HWC19_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615896,HWC19_gp28,HWC19_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615897,HWC19_gp29,HWC19_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615898,HWC19_gp30,HWC19_gp30,-,-,-,-,putative tail fibers protein,protein-coding,-,-,-,putative tail fibers protein,20200620,-
2575325,55615899,HWC19_gp31,HWC19_gp31,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20200620,-
2575325,55615900,HWC19_gp32,HWC19_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615901,HWC19_gp33,HWC19_gp33,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2575325,55615902,HWC19_gp34,HWC19_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575325,55615903,HWC19_gp35,HWC19_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2575325,55615904,HWC19_gp36,HWC19_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615905,HWC19_gp37,HWC19_gp37,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200829,-
2575325,55615906,HWC19_gp38,HWC19_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615907,HWC19_gp39,HWC19_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615908,HWC19_gp40,HWC19_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615909,HWC19_gp41,HWC19_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575325,55615910,HWC19_gp42,HWC19_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615911,HWC19_gp43,HWC19_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575325,55615912,HWC19_gp44,HWC19_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575325,55615913,HWC19_gp45,HWC19_gp45,-,-,-,-,putative tail fibers protein,protein-coding,-,-,-,putative tail fibers protein,20200620,-
2575325,55615914,HWC19_gp46,HWC19_gp46,-,-,-,-,putative tail fibers protein,protein-coding,-,-,-,putative tail fibers protein,20210424,-
2575325,55615915,HWC19_gp47,HWC19_gp47,-,-,-,-,putative tail fibers protein,protein-coding,-,-,-,putative tail fibers protein,20210424,-
2575325,55615916,HWC19_gp48,HWC19_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615917,HWC19_gp49,HWC19_gp49,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200829,-
2575325,55615918,HWC19_gp50,HWC19_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2575325,55615919,HWC19_gp51,HWC19_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575325,55615920,HWC19_gp52,HWC19_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575325,55615921,HWC19_gp53,HWC19_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
