#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147043,14296292,G174_gp37,G174_gp37,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1147043,14296293,G174_gp38,G174_gp38,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200629,-
1147043,14296294,G174_gp39,G174_gp39,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200629,-
1147043,14296295,G174_gp40,G174_gp40,-,-,-,-,gp6-like head-tail connector protein,protein-coding,-,-,-,gp6-like head-tail connector protein,20201221,-
1147043,14296296,G174_gp41,G174_gp41,-,-,-,-,head-tail adaptor protein,protein-coding,-,-,-,head-tail adaptor protein,20210417,-
1147043,14296297,G174_gp42,G174_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296298,G174_gp43,G174_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296299,G174_gp44,G174_gp44,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1147043,14296300,G174_gp45,G174_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296301,G174_gp46,G174_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296302,G174_gp47,G174_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296303,G174_gp48,G174_gp48,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1147043,14296304,G174_gp49,G174_gp49,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1147043,14296305,G174_gp50,G174_gp50,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1147043,14296306,G174_gp51,G174_gp51,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1147043,14296307,G174_gp52,G174_gp52,-,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20200629,-
1147043,14296308,G174_gp53,G174_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296309,G174_gp54,G174_gp54,-,-,-,-,Zn carboxypeptidase,protein-coding,-,-,-,Zn carboxypeptidase,20200629,-
1147043,14296310,G174_gp55,G174_gp55,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1147043,14296311,G174_gp56,G174_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296312,G174_gp57,G174_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147043,14296313,G174_gp58,G174_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
