#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445686,10328571,SSSM7_002,SSSM7_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445686,10328572,SSSM7_004,SSSM7_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328573,gp32,SSSM7_003,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
445686,10328574,gp53,SSSM7_005,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200909,-
445686,10328575,gp48,SSSM7_006,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
445686,10328576,gp2,SSSM7_007,-,-,-,-,gp2,protein-coding,-,-,-,gp2,20200909,-
445686,10328577,gp4,SSSM7_008,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
445686,10328578,SSSM7_009,SSSM7_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328579,gp26,SSSM7_010,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
445686,10328580,gp51,SSSM7_011,-,-,-,-,gp51,protein-coding,-,-,-,gp51,20200909,-
445686,10328581,SSSM7_012,SSSM7_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328582,SSSM7_013,SSSM7_013,-,-,-,-,putative transmembrane protein,protein-coding,-,-,-,putative transmembrane protein,20200909,-
445686,10328583,SSSM7_014,SSSM7_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328584,SSSM7_015,SSSM7_015,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20200909,-
445686,10328585,gp5,SSSM7_016,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200909,-
445686,10328586,SSSM7_017,SSSM7_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328587,SSSM7_018,SSSM7_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328588,SSSM7_019,SSSM7_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328589,SSSM7_020,SSSM7_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328590,SSSM7_021,SSSM7_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328591,SSSM7_022,SSSM7_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328592,SSSM7_023,SSSM7_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328593,SSSM7_024,SSSM7_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328594,SSSM7_025,SSSM7_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328595,SSSM7_026,SSSM7_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328596,SSSM7_027,SSSM7_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328597,SSSM7_028,SSSM7_028,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
445686,10328598,SSSM7_029,SSSM7_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328599,SSSM7_030,SSSM7_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328600,SSSM7_031,SSSM7_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328601,SSSM7_032,SSSM7_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328602,SSSM7_033,SSSM7_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328603,SSSM7_034,SSSM7_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328604,SSSM7_035,SSSM7_035,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200909,-
445686,10328605,SSSM7_036,SSSM7_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328606,SSSM7_037,SSSM7_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328607,SSSM7_038,SSSM7_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328608,SSSM7_039,SSSM7_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328609,SSSM7_040,SSSM7_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328610,SSSM7_041,SSSM7_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328611,SSSM7_042,SSSM7_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328612,SSSM7_043,SSSM7_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328613,SSSM7_044,SSSM7_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328614,SSSM7_045,SSSM7_045,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
445686,10328615,SSSM7_046,SSSM7_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328616,SSSM7_047,SSSM7_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328617,SSSM7_048,SSSM7_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328618,SSSM7_049,SSSM7_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328619,SSSM7_050,SSSM7_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328620,SSSM7_051,SSSM7_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328621,SSSM7_052,SSSM7_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328622,SSSM7_053,SSSM7_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328623,SSSM7_054,SSSM7_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328624,SSSM7_055,SSSM7_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328625,SSSM7_056,SSSM7_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328626,SSSM7_057,SSSM7_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328627,SSSM7_058,SSSM7_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328628,SSSM7_059,SSSM7_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328629,SSSM7_060,SSSM7_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328630,SSSM7_061,SSSM7_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328631,SSSM7_062,SSSM7_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328632,SSSM7_063,SSSM7_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328633,SSSM7_064,SSSM7_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328634,SSSM7_065,SSSM7_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328635,SSSM7_066,SSSM7_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328636,SSSM7_067,SSSM7_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328637,SSSM7_068,SSSM7_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328638,SSSM7_069,SSSM7_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328639,SSSM7_070,SSSM7_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328640,SSSM7_071,SSSM7_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328641,SSSM7_072,SSSM7_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328642,SSSM7_073,SSSM7_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328643,SSSM7_074,SSSM7_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328644,SSSM7_075,SSSM7_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328645,SSSM7_076,SSSM7_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328646,SSSM7_077,SSSM7_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328647,SSSM7_078,SSSM7_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328648,SSSM7_079,SSSM7_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328649,SSSM7_080,SSSM7_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328650,SSSM7_081,SSSM7_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328651,SSSM7_082,SSSM7_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328652,SSSM7_083,SSSM7_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328653,SSSM7_084,SSSM7_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328654,SSSM7_085,SSSM7_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328655,SSSM7_086,SSSM7_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328656,SSSM7_087,SSSM7_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328657,SSSM7_088,SSSM7_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328658,SSSM7_089,SSSM7_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328659,SSSM7_090,SSSM7_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328660,SSSM7_091,SSSM7_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328661,SSSM7_092,SSSM7_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328662,SSSM7_093,SSSM7_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328663,SSSM7_094,SSSM7_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328664,SSSM7_095,SSSM7_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328665,SSSM7_096,SSSM7_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328666,SSSM7_097,SSSM7_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328667,SSSM7_098,SSSM7_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445686,10328668,gp25,SSSM7_099,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20200909,-
445686,10328669,gp6,SSSM7_100,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445686,10328670,gp7,SSSM7_101,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200909,-
445686,10328671,SSSM7_102,SSSM7_102,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20200909,-
445686,10328672,gp7,SSSM7_103,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200909,-
445686,10328673,gp8,SSSM7_104,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
