#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079584,40099950,2,FDJ36_gp02,PBI_ILZAT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2079584,40099951,3,FDJ36_gp03,PBI_ILZAT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2079584,40099952,4,FDJ36_gp04,PBI_ILZAT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2079584,40099953,5,FDJ36_gp05,PBI_ILZAT_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2079584,40099954,6,FDJ36_gp06,PBI_ILZAT_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2079584,40099955,7,FDJ36_gp07,PBI_ILZAT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099956,8,FDJ36_gp08,PBI_ILZAT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099957,9,FDJ36_gp09,PBI_ILZAT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099958,10,FDJ36_gp10,PBI_ILZAT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099959,11,FDJ36_gp11,PBI_ILZAT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099960,12,FDJ36_gp12,PBI_ILZAT_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099961,13,FDJ36_gp13,PBI_ILZAT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099962,14,FDJ36_gp14,PBI_ILZAT_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2079584,40099963,15,FDJ36_gp15,PBI_ILZAT_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2079584,40099964,16,FDJ36_gp16,PBI_ILZAT_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2079584,40099965,17,FDJ36_gp17,PBI_ILZAT_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2079584,40099966,18,FDJ36_gp18,PBI_ILZAT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079584,40099967,19,FDJ36_gp19,PBI_ILZAT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2079584,40099968,20,FDJ36_gp20,PBI_ILZAT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099969,21,FDJ36_gp21,PBI_ILZAT_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099970,22,FDJ36_gp22,PBI_ILZAT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099971,23,FDJ36_gp23,PBI_ILZAT_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079584,40099972,24,FDJ36_gp24,PBI_ILZAT_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2079584,40099973,25,FDJ36_gp25,PBI_ILZAT_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2079584,40099974,26,FDJ36_gp26,PBI_ILZAT_26,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2079584,40099975,27,FDJ36_gp27,PBI_ILZAT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099976,28,FDJ36_gp28,PBI_ILZAT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099977,29,FDJ36_gp29,PBI_ILZAT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099978,30,FDJ36_gp30,PBI_ILZAT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099979,31,FDJ36_gp31,PBI_ILZAT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099980,32,FDJ36_gp32,PBI_ILZAT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099981,33,FDJ36_gp33,PBI_ILZAT_33,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20201221,-
2079584,40099982,34,FDJ36_gp34,PBI_ILZAT_34,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201221,-
2079584,40099983,35,FDJ36_gp35,PBI_ILZAT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099984,36,FDJ36_gp36,PBI_ILZAT_36,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210403,-
2079584,40099985,37,FDJ36_gp37,PBI_ILZAT_37,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2079584,40099986,38,FDJ36_gp38,PBI_ILZAT_38,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2079584,40099987,39,FDJ36_gp39,PBI_ILZAT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099988,40,FDJ36_gp40,PBI_ILZAT_40,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2079584,40099989,41,FDJ36_gp41,PBI_ILZAT_41,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210403,-
2079584,40099990,42,FDJ36_gp42,PBI_ILZAT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099991,43,FDJ36_gp43,PBI_ILZAT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099992,44,FDJ36_gp44,PBI_ILZAT_44,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
2079584,40099993,45,FDJ36_gp45,PBI_ILZAT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099994,46,FDJ36_gp46,PBI_ILZAT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099995,47,FDJ36_gp47,PBI_ILZAT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099996,48,FDJ36_gp48,PBI_ILZAT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099997,49,FDJ36_gp49,PBI_ILZAT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40099998,50,FDJ36_gp50,PBI_ILZAT_50,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
2079584,40099999,51,FDJ36_gp51,PBI_ILZAT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100000,52,FDJ36_gp52,PBI_ILZAT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
