#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
167356,41799541,cox1,F6C63_mgp01,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20200829,-
167356,41799542,nad1,F6C63_mgp51,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200829,-
167356,41799543,trnD(gtc),F6C63_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799544,cox2,F6C63_mgp06,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20200829,-
167356,41799545,orf454,F6C63_mgp57,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799546,nad4L,F6C63_mgp02,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20200829,-
167356,41799547,orf295,F6C63_mgp07,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799548,orf100,F6C63_mgp53,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799549,orf237,F6C63_mgp50,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799550,orf140,F6C63_mgp47,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799551,trnM(cat),F6C63_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799552,orf475,F6C63_mgp31,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799553,nad5,F6C63_mgp03,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20200829,-
167356,41799554,orf261,F6C63_mgp04,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799555,nad2,F6C63_mgp48,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200829,-
167356,41799556,atp6,F6C63_mgp52,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20200829,-
167356,41799557,orf124,F6C63_mgp09,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799558,nad4,F6C63_mgp32,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20200829,-
167356,41799559,rns,F6C63_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
167356,41799560,orf512,F6C63_mgp38,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799561,orf129,F6C63_mgp35,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799562,orf381,F6C63_mgp22,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799563,orf226,F6C63_mgp12,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799564,trnK(ttt),F6C63_mgt30,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799565,orf106,F6C63_mgp10,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799566,orf124,F6C63_mgp13,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799567,orf524,F6C63_mgp34,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799568,orf136,F6C63_mgp19,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799569,orf118,F6C63_mgp18,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799570,nad3,F6C63_mgp46,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20200829,-
167356,41799571,orf196,F6C63_mgp43,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799572,trnK(ttt),F6C63_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799573,orf368,F6C63_mgp41,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799574,orf122,F6C63_mgp23,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799575,orf133,F6C63_mgp20,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799576,orf200,F6C63_mgp26,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799577,orf152,F6C63_mgp42,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799578,trnI(gat),F6C63_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799579,orf128,F6C63_mgp14,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799580,orf121,F6C63_mgp36,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799581,orf125,F6C63_mgp11,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799582,trnA(tgc),F6C63_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799583,atp9,F6C63_mgp05,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20200905,-
167356,41799584,rnl,F6C63_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
167356,41799585,cox3,F6C63_mgp54,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20200829,-
167356,41799586,trnY(gta),F6C63_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799587,orf276,F6C63_mgp08,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799588,orf270,F6C63_mgp55,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799589,trnK(ttt),F6C63_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799590,orf173,F6C63_mgp21,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799591,orf583,F6C63_mgp29,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799592,orf321,F6C63_mgp56,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799593,orf382,F6C63_mgp30,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799594,orf224,F6C63_mgp37,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799595,orf118,F6C63_mgp33,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799596,orf141,F6C63_mgp44,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799597,orf261,F6C63_mgp28,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799598,trnH(gtg),F6C63_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799599,orf180,F6C63_mgp27,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799600,trnV(tac),F6C63_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799601,trnL(taa),F6C63_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799602,trnF(gaa),F6C63_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799603,trnK(ttt),F6C63_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799604,trnG(tcc),F6C63_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799605,trnS(gct),F6C63_mgt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799606,trnT(tgt),F6C63_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799607,trnR(tct),F6C63_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799608,trnC(gca),F6C63_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799609,cob,F6C63_mgp58,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20200829,-
167356,41799610,orf145,F6C63_mgp25,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799611,orf847,F6C63_mgp40,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799612,orf119,F6C63_mgp39,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799613,trnK(ctt),F6C63_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799614,orf165,F6C63_mgp24,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
167356,41799615,atp8,F6C63_mgp16,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20200829,-
167356,41799616,trnR(tcg),F6C63_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799617,trnP(tgg),F6C63_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799618,orf546,F6C63_mgp45,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
