#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852562,40071742,FDH02_gp02,FDH02_gp02,VSW3_2,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
1852562,40071743,FDH02_gp03,FDH02_gp03,VSW3_3,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1852562,40071744,FDH02_gp04,FDH02_gp04,VSW3_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071745,FDH02_gp05,FDH02_gp05,VSW3_5,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1852562,40071746,FDH02_gp06,FDH02_gp06,VSW3_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071747,FDH02_gp07,FDH02_gp07,VSW3_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071748,FDH02_gp08,FDH02_gp08,VSW3_8,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
1852562,40071749,FDH02_gp09,FDH02_gp09,VSW3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071750,FDH02_gp10,FDH02_gp10,VSW3_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071751,FDH02_gp11,FDH02_gp11,VSW3_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071752,FDH02_gp12,FDH02_gp12,VSW3_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071753,FDH02_gp13,FDH02_gp13,VSW3_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071754,FDH02_gp14,FDH02_gp14,VSW3_14,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1852562,40071755,FDH02_gp15,FDH02_gp15,VSW3_15,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201221,-
1852562,40071756,FDH02_gp16,FDH02_gp16,VSW3_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071757,FDH02_gp17,FDH02_gp17,VSW3_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071758,FDH02_gp18,FDH02_gp18,VSW3_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071759,FDH02_gp19,FDH02_gp19,VSW3_19,-,-,-,collar / head-to-tail joining protein,protein-coding,-,-,-,collar / head-to-tail joining protein,20201221,-
1852562,40071760,FDH02_gp20,FDH02_gp20,VSW3_20,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1852562,40071761,FDH02_gp21,FDH02_gp21,VSW3_21,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1852562,40071762,FDH02_gp22,FDH02_gp22,VSW3_22,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
1852562,40071763,FDH02_gp23,FDH02_gp23,VSW3_23,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
1852562,40071764,FDH02_gp24,FDH02_gp24,VSW3_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071765,FDH02_gp25,FDH02_gp25,VSW3_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071766,FDH02_gp26,FDH02_gp26,VSW3_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071767,FDH02_gp27,FDH02_gp27,VSW3_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071768,FDH02_gp28,FDH02_gp28,VSW3_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071769,FDH02_gp29,FDH02_gp29,VSW3_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071770,FDH02_gp30,FDH02_gp30,VSW3_30,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20201221,-
1852562,40071771,FDH02_gp31,FDH02_gp31,VSW3_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071772,FDH02_gp32,FDH02_gp32,VSW3_32,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1852562,40071773,FDH02_gp33,FDH02_gp33,VSW3_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
