#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229751,16385068,N391_gp02,N391_gp02,BM13_02,-,-,-,putative anti-repressor,protein-coding,-,-,-,putative anti-repressor,20210417,-
1229751,16385069,N391_gp03,N391_gp03,BM13_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385070,N391_gp04,N391_gp04,BM13_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385071,N391_gp05,N391_gp05,BM13_05,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20210417,-
1229751,16385072,N391_gp06,N391_gp06,BM13_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385073,N391_gp07,N391_gp07,BM13_07,-,-,-,putative regulatory protein,protein-coding,-,-,-,putative regulatory protein,20200629,-
1229751,16385074,N391_gp08,N391_gp08,BM13_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385075,N391_gp09,N391_gp09,BM13_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385076,N391_gp10,N391_gp10,BM13_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385077,N391_gp11,N391_gp11,BM13_11,-,-,-,single strand annealing protein,protein-coding,-,-,-,single strand annealing protein,20210417,-
1229751,16385078,N391_gp12,N391_gp12,BM13_12,-,-,-,single strand DNA binding protein,protein-coding,-,-,-,single strand DNA binding protein,20200629,-
1229751,16385079,N391_gp13,N391_gp13,BM13_13,-,-,-,putative DNA replication protein,protein-coding,-,-,-,putative DNA replication protein,20200629,-
1229751,16385080,N391_gp14,N391_gp14,BM13_14,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1229751,16385081,N391_gp15,N391_gp15,BM13_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385082,N391_gp16,N391_gp16,BM13_16,-,-,-,putative resolvase,protein-coding,-,-,-,putative resolvase,20200629,-
1229751,16385083,N391_gp17,N391_gp17,BM13_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385084,N391_gp18,N391_gp18,BM13_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385085,N391_gp19,N391_gp19,BM13_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385086,N391_gp20,N391_gp20,BM13_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385087,N391_gp21,N391_gp21,BM13_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385088,N391_gp22,N391_gp22,BM13_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385089,N391_gp23,N391_gp23,BM13_23,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1229751,16385090,N391_gp24,N391_gp24,BM13_24,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210417,-
1229751,16385091,N391_gp25,N391_gp25,BM13_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385092,N391_gp26,N391_gp26,BM13_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385093,N391_gp27,N391_gp27,BM13_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385094,N391_gp28,N391_gp28,BM13_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385095,N391_gp29,N391_gp29,BM13_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385096,N391_gp30,N391_gp30,BM13_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385097,N391_gp31,N391_gp31,BM13_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385098,N391_gp32,N391_gp32,BM13_32,-,-,-,putative transcriptional activator,protein-coding,-,-,-,putative transcriptional activator,20200629,-
1229751,16385099,N391_gp33,N391_gp33,BM13_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385100,N391_gp34,N391_gp34,BM13_34,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1229751,16385101,N391_gp35,N391_gp35,BM13_35,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1229751,16385102,N391_gp36,N391_gp36,BM13_36,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20200629,-
1229751,16385103,N391_gp37,N391_gp37,BM13_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385104,N391_gp38,N391_gp38,BM13_38,-,-,-,putative scaffold structural protein,protein-coding,-,-,-,putative scaffold structural protein,20200629,-
1229751,16385105,N391_gp39,N391_gp39,BM13_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385106,N391_gp40,N391_gp40,BM13_40,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20200629,-
1229751,16385107,N391_gp41,N391_gp41,BM13_41,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1229751,16385108,N391_gp42,N391_gp42,BM13_42,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200905,-
1229751,16385109,N391_gp43,N391_gp43,BM13_43,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1229751,16385110,N391_gp44,N391_gp44,BM13_44,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1229751,16385111,N391_gp45,N391_gp45,BM13_45,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
