#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1541887,22110784,2,CHI_2,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1541887,22110785,3,CHI_3,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1541887,22110786,4,CHI_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110787,5,CHI_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110788,6,CHI_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110789,7,CHI_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110790,8,CHI_8,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1541887,22110791,9,CHI_9,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200629,-
1541887,22110792,10,CHI_10,-,-,-,-,recombination ATPase helicase,protein-coding,-,-,-,recombination ATPase helicase,20200629,-
1541887,22110793,11,CHI_11,-,-,-,-,TerS,protein-coding,-,-,-,TerS,20210417,-
1541887,22110794,12,CHI_12,-,-,-,-,TerL,protein-coding,-,-,-,TerL,20201221,-
1541887,22110795,13,CHI_13,-,-,-,-,putative head-to-tail joining protein W,protein-coding,-,-,-,putative head-to-tail joining protein W,20210123,-
1541887,22110796,14,CHI_14,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1541887,22110797,15,CHI_15,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1541887,22110798,16,CHI_16,-,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20210406,-
1541887,22110799,17,CHI_17,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1541887,22110800,18,CHI_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110801,19,CHI_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110802,20,CHI_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110803,21,CHI_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110804,22,CHI_22,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1541887,22110805,23,CHI_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1541887,22110806,24,CHI_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1541887,22110807,25,CHI_25,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200629,-
1541887,22110808,26,CHI_26,-,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20201221,-
