#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1435411,18499595,CF77_gp55,CF77_gp55,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1435411,18499596,CF77_gp54,CF77_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1435411,18499597,CF77_gp53,CF77_gp53,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1435411,18499598,CF77_gp52,CF77_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499599,CF77_gp51,CF77_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499600,CF77_gp50,CF77_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499601,CF77_gp49,CF77_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499602,CF77_gp48,CF77_gp48,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201221,-
1435411,18499603,CF77_gp47,CF77_gp47,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1435411,18499604,CF77_gp46,CF77_gp46,-,-,-,-,DUF669 domain-containing protein,protein-coding,-,-,-,DUF669 domain-containing protein,20201221,-
1435411,18499605,CF77_gp45,CF77_gp45,-,-,-,-,replisome organizer N-terminal domain-containing protein,protein-coding,-,-,-,replisome organizer N-terminal domain-containing protein,20201221,-
1435411,18499606,CF77_gp44,CF77_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499607,CF77_gp43,CF77_gp43,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201221,-
1435411,18499608,CF77_gp42,CF77_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499609,CF77_gp41,CF77_gp41,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1435411,18499610,CF77_gp40,CF77_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499611,CF77_gp39,CF77_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499612,CF77_gp38,CF77_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499613,CF77_gp37,CF77_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499614,CF77_gp36,CF77_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499615,CF77_gp35,CF77_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499616,CF77_gp34,CF77_gp34,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1435411,18499617,CF77_gp33,CF77_gp33,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
1435411,18499618,CF77_gp32,CF77_gp32,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1435411,18499619,CF77_gp31,CF77_gp31,-,-,-,-,ribosomal-processing cysteine protease Prp,protein-coding,-,-,-,ribosomal-processing cysteine protease Prp,20201221,-
1435411,18499620,CF77_gp30,CF77_gp30,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
