#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1432428,54974258,HOQ94_gp02,HOQ94_gp02,-,-,-,-,TerL large terminase subunit-like protein,protein-coding,-,-,-,TerL large terminase subunit-like protein,20210129,-
1432428,54974259,HOQ94_gp03,HOQ94_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974260,HOQ94_gp04,HOQ94_gp04,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201221,-
1432428,54974261,HOQ94_gp05,HOQ94_gp05,-,-,-,-,exported hypothetical protein,protein-coding,-,-,-,exported hypothetical protein,20201221,-
1432428,54974262,HOQ94_gp06,HOQ94_gp06,-,-,-,-,putative integrase/recombinase protein,protein-coding,-,-,-,putative integrase/recombinase protein,20201221,-
1432428,54974263,HOQ94_gp07,HOQ94_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974264,HOQ94_gp08,HOQ94_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974265,HOQ94_gp09,HOQ94_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974266,HOQ94_gp10,HOQ94_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974267,HOQ94_gp11,HOQ94_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974268,HOQ94_gp12,HOQ94_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974269,HOQ94_gp13,HOQ94_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974270,HOQ94_gp14,HOQ94_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974271,HOQ94_gp15,HOQ94_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974272,HOQ94_gp16,HOQ94_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974273,HOQ94_gp17,HOQ94_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974274,HOQ94_gp18,HOQ94_gp18,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210129,-
1432428,54974275,HOQ94_gp19,HOQ94_gp19,-,-,-,-,putative Replicative DNA helicase,protein-coding,-,-,-,putative Replicative DNA helicase,20210129,-
1432428,54974276,HOQ94_gp20,HOQ94_gp20,-,-,-,-,Iron(III) dicitrate outer membrane transporter precursor protein,protein-coding,-,-,-,Iron(III) dicitrate outer membrane transporter precursor protein,20201221,-
1432428,54974277,HOQ94_gp21,HOQ94_gp21,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210129,-
1432428,54974278,HOQ94_gp22,HOQ94_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974279,HOQ94_gp23,HOQ94_gp23,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1432428,54974280,HOQ94_gp24,HOQ94_gp24,-,-,-,-,partially similar to DNA endonuclease VII,protein-coding,-,-,-,partially similar to DNA endonuclease VII,20201221,-
1432428,54974281,HOQ94_gp25,HOQ94_gp25,-,-,-,-,putative DNA polymerase / exonucleases,protein-coding,-,-,-,putative DNA polymerase / exonucleases,20210129,-
1432428,54974282,HOQ94_gp26,HOQ94_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1432428,54974283,HOQ94_gp27,HOQ94_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
