#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
498019,29139794,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candida auris).,other,-,-,-,-,20210327,-
498019,40025148,CJI97_000001,CJI97_000001,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025149,CJI97_000002,CJI97_000002,-,-,Unknown,-,5S ribosomal RNA,rRNA,-,-,-,-,20200919,-
498019,40025150,CJI97_000003,CJI97_000003,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025151,CJI97_000004,CJI97_000004,-,-,Unknown,-,5S ribosomal RNA,rRNA,-,-,-,-,20200919,-
498019,40025152,CJI97_000005,CJI97_000005,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025153,CJI97_000006,CJI97_000006,-,-,Unknown,-,5S ribosomal RNA,rRNA,-,-,-,-,20200919,-
498019,40025154,CJI97_000007,CJI97_000007,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025155,CJI97_000008,CJI97_000008,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025156,CJI97_000009,CJI97_000009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025157,CJI97_000010,CJI97_000010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025158,CJI97_000011,CJI97_000011,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025159,CJI97_000012,CJI97_000012,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025160,CJI97_000013,CJI97_000013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025161,CJI97_000014,CJI97_000014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025162,CJI97_000015,CJI97_000015,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025163,CJI97_000016,CJI97_000016,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
