#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283012,55600349,HWB81_gp02,HWB81_gp02,Wes44_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2283012,55600350,HWB81_gp03,HWB81_gp03,Wes44_3,-,-,-,helicase,protein-coding,-,-,-,helicase,20210417,-
2283012,55600351,HWB81_gp04,HWB81_gp04,Wes44_4,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210417,-
2283012,55600352,HWB81_gp05,HWB81_gp05,Wes44_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600353,HWB81_gp06,HWB81_gp06,Wes44_6,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20210417,-
2283012,55600354,HWB81_gp07,HWB81_gp07,Wes44_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600355,HWB81_gp08,HWB81_gp08,Wes44_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600356,HWB81_gp09,HWB81_gp09,Wes44_9,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20210417,-
2283012,55600357,HWB81_gp10,HWB81_gp10,Wes44_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600358,HWB81_gp11,HWB81_gp11,Wes44_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600359,HWB81_gp12,HWB81_gp12,Wes44_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600360,HWB81_gp13,HWB81_gp13,Wes44_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600361,HWB81_gp14,HWB81_gp14,Wes44_14,-,-,-,NAD-dependent epimerase/dehydratase,protein-coding,-,-,-,NAD-dependent epimerase/dehydratase,20201221,-
2283012,55600362,HWB81_gp15,HWB81_gp15,Wes44_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600363,HWB81_gp16,HWB81_gp16,Wes44_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600364,HWB81_gp17,HWB81_gp17,Wes44_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600365,HWB81_gp18,HWB81_gp18,Wes44_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600366,HWB81_gp19,HWB81_gp19,Wes44_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600367,HWB81_gp20,HWB81_gp20,Wes44_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600368,HWB81_gp21,HWB81_gp21,Wes44_21,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20201221,-
2283012,55600369,HWB81_gp22,HWB81_gp22,Wes44_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600370,HWB81_gp23,HWB81_gp23,Wes44_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600371,HWB81_gp24,HWB81_gp24,Wes44_24,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210417,-
2283012,55600372,HWB81_gp25,HWB81_gp25,Wes44_25,-,-,-,nucleoside pyrophosphohydrolase,protein-coding,-,-,-,nucleoside pyrophosphohydrolase,20210417,-
2283012,55600373,HWB81_gp26,HWB81_gp26,Wes44_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600374,HWB81_gp27,HWB81_gp27,Wes44_27,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210417,-
2283012,55600375,HWB81_gp28,HWB81_gp28,Wes44_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600376,HWB81_gp29,HWB81_gp29,Wes44_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600377,HWB81_gp30,HWB81_gp30,Wes44_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
