#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047868,40096795,FDJ10_gp14,FDJ10_gp14,SEA_C3PO_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2047868,40096796,FDJ10_gp15,FDJ10_gp15,SEA_C3PO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096797,FDJ10_gp16,FDJ10_gp16,SEA_C3PO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096798,FDJ10_gp17,FDJ10_gp17,SEA_C3PO_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2047868,40096799,FDJ10_gp18,FDJ10_gp18,SEA_C3PO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096800,FDJ10_gp19,FDJ10_gp19,SEA_C3PO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096801,FDJ10_gp20,FDJ10_gp20,SEA_C3PO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096802,FDJ10_gp21,FDJ10_gp21,SEA_C3PO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096803,FDJ10_gp22,FDJ10_gp22,SEA_C3PO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096804,FDJ10_gp24,FDJ10_gp24,SEA_C3PO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096805,FDJ10_gp27,FDJ10_gp27,SEA_C3PO_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2047868,40096806,FDJ10_gp89,FDJ10_gp89,SEA_C3PO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096807,FDJ10_gp88,FDJ10_gp88,SEA_C3PO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096808,FDJ10_gp87,FDJ10_gp87,SEA_C3PO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096809,FDJ10_gp86,FDJ10_gp86,SEA_C3PO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096810,FDJ10_gp85,FDJ10_gp85,SEA_C3PO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096811,FDJ10_gp84,FDJ10_gp84,SEA_C3PO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096812,FDJ10_gp83,FDJ10_gp83,SEA_C3PO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
