#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448274,19684937,HH37_gp02,HH37_gp02,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1448274,19684938,HH37_gp03,HH37_gp03,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684939,HH37_gp04,HH37_gp04,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684940,HH37_gp05,HH37_gp05,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684941,HH37_gp06,HH37_gp06,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684942,HH37_gp07,HH37_gp07,-,-,-,-,PblB-type antireceptor,protein-coding,-,-,-,PblB-type antireceptor,20200629,-
1448274,19684943,HH37_gp08,HH37_gp08,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684944,HH37_gp09,HH37_gp09,-,-,-,-,putative structural phage protein,protein-coding,-,-,-,putative structural phage protein,20200629,-
1448274,19684945,HH37_gp10,HH37_gp10,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684946,HH37_gp11,HH37_gp11,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684947,HH37_gp12,HH37_gp12,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1448274,19684948,HH37_gp13,HH37_gp13,-,-,-,-,DUF3168 phage protein,protein-coding,-,-,-,DUF3168 phage protein,20200629,-
1448274,19684949,HH37_gp14,HH37_gp14,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20200629,-
1448274,19684950,HH37_gp15,HH37_gp15,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684951,HH37_gp16,HH37_gp16,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684952,HH37_gp17,HH37_gp17,-,-,-,-,sugar-binding protein,protein-coding,-,-,-,sugar-binding protein,20201221,-
1448274,19684953,HH37_gp18,HH37_gp18,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1448274,19684954,HH37_gp19,HH37_gp19,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684955,HH37_gp20,HH37_gp20,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684956,HH37_gp21,HH37_gp21,-,-,-,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20210129,-
1448274,19684957,HH37_gp22,HH37_gp22,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684958,HH37_gp23,HH37_gp23,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1448274,19684959,HH37_gp24,HH37_gp24,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20200629,-
1448274,19684960,HH37_gp25,HH37_gp25,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1448274,19684961,HH37_gp26,HH37_gp26,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1448274,19684962,HH37_gp27,HH37_gp27,-,-,-,-,DUF1492 domain-containing protein,protein-coding,-,-,-,DUF1492 domain-containing protein,20201221,-
1448274,19684963,HH37_gp28,HH37_gp28,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684964,HH37_gp29,HH37_gp29,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684965,HH37_gp30,HH37_gp30,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684966,HH37_gp31,HH37_gp31,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684967,HH37_gp32,HH37_gp32,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684968,HH37_gp33,HH37_gp33,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684969,HH37_gp34,HH37_gp34,-,-,-,-,protein,protein-coding,-,-,-,protein,20201221,-
1448274,19684970,HH37_gp35,HH37_gp35,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684971,HH37_gp36,HH37_gp36,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201221,-
1448274,19684972,HH37_gp37,HH37_gp37,-,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20201221,-
1448274,19684973,HH37_gp38,HH37_gp38,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684974,HH37_gp39,HH37_gp39,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684975,HH37_gp40,HH37_gp40,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684976,HH37_gp41,HH37_gp41,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684977,HH37_gp42,HH37_gp42,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684978,HH37_gp43,HH37_gp43,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684979,HH37_gp44,HH37_gp44,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684980,HH37_gp45,HH37_gp45,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201221,-
1448274,19684981,HH37_gp46,HH37_gp46,-,-,-,-,DnaD domain protein,protein-coding,-,-,-,DnaD domain protein,20201221,-
1448274,19684982,HH37_gp47,HH37_gp47,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684983,HH37_gp48,HH37_gp48,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684984,HH37_gp49,HH37_gp49,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684985,HH37_gp50,HH37_gp50,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684986,HH37_gp51,HH37_gp51,-,-,-,-,phage DNA binding protein,protein-coding,-,-,-,phage DNA binding protein,20200629,-
1448274,19684987,HH37_gp52,HH37_gp52,-,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,protein-coding,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,20201221,-
1448274,19684988,HH37_gp53,HH37_gp53,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1448274,19684989,HH37_gp54,HH37_gp54,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20201221,-
1448274,19684990,HH37_gp01,HH37_gp01,-,-,-,-,pseudo,pseudo,-,-,-,-,20201221,-
1448274,19791146,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
