#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2572533,60336524,2,I5J46_gp02,SEA_FIRSTPLACEPFU_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2572533,60336525,3,I5J46_gp03,SEA_FIRSTPLACEPFU_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2572533,60336526,4,I5J46_gp04,SEA_FIRSTPLACEPFU_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2572533,60336527,5,I5J46_gp05,SEA_FIRSTPLACEPFU_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2572533,60336528,6,I5J46_gp06,SEA_FIRSTPLACEPFU_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2572533,60336529,7,I5J46_gp07,SEA_FIRSTPLACEPFU_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336530,8,I5J46_gp08,SEA_FIRSTPLACEPFU_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2572533,60336531,9,I5J46_gp09,SEA_FIRSTPLACEPFU_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2572533,60336532,10,I5J46_gp10,SEA_FIRSTPLACEPFU_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336533,11,I5J46_gp11,SEA_FIRSTPLACEPFU_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336534,12,I5J46_gp12,SEA_FIRSTPLACEPFU_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336535,13,I5J46_gp13,SEA_FIRSTPLACEPFU_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2572533,60336536,14,I5J46_gp14,SEA_FIRSTPLACEPFU_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2572533,60336537,16,I5J46_gp15,SEA_FIRSTPLACEPFU_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2572533,60336538,17,I5J46_gp17,SEA_FIRSTPLACEPFU_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2572533,60336539,15,I5J46_gp16,SEA_FIRSTPLACEPFU_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2572533,60336540,18,I5J46_gp18,SEA_FIRSTPLACEPFU_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2572533,60336541,19,I5J46_gp19,SEA_FIRSTPLACEPFU_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2572533,60336542,20,I5J46_gp20,SEA_FIRSTPLACEPFU_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2572533,60336543,21,I5J46_gp21,SEA_FIRSTPLACEPFU_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2572533,60336544,22,I5J46_gp22,SEA_FIRSTPLACEPFU_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2572533,60336545,23,I5J46_gp23,SEA_FIRSTPLACEPFU_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336546,24,I5J46_gp24,SEA_FIRSTPLACEPFU_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336547,25,I5J46_gp25,SEA_FIRSTPLACEPFU_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2572533,60336548,26,I5J46_gp26,SEA_FIRSTPLACEPFU_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2572533,60336549,27,I5J46_gp27,SEA_FIRSTPLACEPFU_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2572533,60336550,28,I5J46_gp28,SEA_FIRSTPLACEPFU_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2572533,60336551,29,I5J46_gp29,SEA_FIRSTPLACEPFU_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2572533,60336552,30,I5J46_gp30,SEA_FIRSTPLACEPFU_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2572533,60336553,31,I5J46_gp31,SEA_FIRSTPLACEPFU_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2572533,60336554,32,I5J46_gp32,SEA_FIRSTPLACEPFU_32,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2572533,60336555,33,I5J46_gp33,SEA_FIRSTPLACEPFU_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336556,34,I5J46_gp34,SEA_FIRSTPLACEPFU_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2572533,60336557,35,I5J46_gp35,SEA_FIRSTPLACEPFU_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336558,36,I5J46_gp36,SEA_FIRSTPLACEPFU_36,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2572533,60336559,37,I5J46_gp37,SEA_FIRSTPLACEPFU_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336560,38,I5J46_gp38,SEA_FIRSTPLACEPFU_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2572533,60336561,39,I5J46_gp39,SEA_FIRSTPLACEPFU_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336562,40,I5J46_gp40,SEA_FIRSTPLACEPFU_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336563,41,I5J46_gp41,SEA_FIRSTPLACEPFU_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336564,42,I5J46_gp42,SEA_FIRSTPLACEPFU_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336565,43,I5J46_gp43,SEA_FIRSTPLACEPFU_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336566,44,I5J46_gp44,SEA_FIRSTPLACEPFU_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336567,45,I5J46_gp45,SEA_FIRSTPLACEPFU_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336568,46,I5J46_gp46,SEA_FIRSTPLACEPFU_46,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210424,-
2572533,60336569,47,I5J46_gp47,SEA_FIRSTPLACEPFU_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2572533,60336570,48,I5J46_gp48,SEA_FIRSTPLACEPFU_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
