#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099625,40101043,2,FDJ43_gp02,PBI_KOJI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2099625,40101044,3,FDJ43_gp03,PBI_KOJI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2099625,40101045,4,FDJ43_gp04,PBI_KOJI_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2099625,40101046,5,FDJ43_gp05,PBI_KOJI_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2099625,40101047,6,FDJ43_gp06,PBI_KOJI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2099625,40101048,7,FDJ43_gp07,PBI_KOJI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101049,8,FDJ43_gp08,PBI_KOJI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101050,9,FDJ43_gp09,PBI_KOJI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101051,10,FDJ43_gp10,PBI_KOJI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101052,11,FDJ43_gp11,PBI_KOJI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101053,12,FDJ43_gp12,PBI_KOJI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101054,13,FDJ43_gp13,PBI_KOJI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101055,14,FDJ43_gp14,PBI_KOJI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101056,18,FDJ43_gp18,PBI_KOJI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099625,40101057,19,FDJ43_gp19,PBI_KOJI_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099625,40101058,20,FDJ43_gp20,PBI_KOJI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101059,21,FDJ43_gp21,PBI_KOJI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101060,22,FDJ43_gp22,PBI_KOJI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101061,23,FDJ43_gp23,PBI_KOJI_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099625,40101062,24,FDJ43_gp24,PBI_KOJI_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2099625,40101063,25,FDJ43_gp25,PBI_KOJI_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2099625,40101064,26,FDJ43_gp26,PBI_KOJI_26,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2099625,40101065,27,FDJ43_gp27,PBI_KOJI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101066,28,FDJ43_gp28,PBI_KOJI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101067,29,FDJ43_gp29,PBI_KOJI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101068,30,FDJ43_gp30,PBI_KOJI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101069,31,FDJ43_gp31,PBI_KOJI_31,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20201221,-
2099625,40101070,32,FDJ43_gp32,PBI_KOJI_32,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201221,-
