#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034101,40233153,2,FGG21_gp002,PBI_DLANE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
1034101,40233154,3,FGG21_gp003,PBI_DLANE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1034101,40233155,4,FGG21_gp004,PBI_DLANE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1034101,40233156,5,FGG21_gp005,PBI_DLANE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1034101,40233157,6,FGG21_gp006,PBI_DLANE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1034101,40233158,7,FGG21_gp007,PBI_DLANE_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1034101,40233159,8,FGG21_gp008,PBI_DLANE_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1034101,40233160,9,FGG21_gp009,PBI_DLANE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1034101,40233161,10,FGG21_gp010,PBI_DLANE_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1034101,40233162,11,FGG21_gp011,PBI_DLANE_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1034101,40233163,12,FGG21_gp012,PBI_DLANE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034101,40233164,13,FGG21_gp013,PBI_DLANE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034101,40233165,14,FGG21_gp014,PBI_DLANE_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1034101,40233166,15,FGG21_gp015,PBI_DLANE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233167,16,FGG21_gp016,PBI_DLANE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233168,17,FGG21_gp017,PBI_DLANE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034101,40233169,18,FGG21_gp018,PBI_DLANE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034101,40233170,19,FGG21_gp019,PBI_DLANE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233171,20,FGG21_gp020,PBI_DLANE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233172,21,FGG21_gp021,PBI_DLANE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233173,22,FGG21_gp022,PBI_DLANE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233174,23,FGG21_gp023,PBI_DLANE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233175,24,FGG21_gp024,PBI_DLANE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233176,25,FGG21_gp025,PBI_DLANE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233177,26,FGG21_gp026,PBI_DLANE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233178,27,FGG21_gp027,PBI_DLANE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233179,28,FGG21_gp028,PBI_DLANE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233180,29,FGG21_gp029,PBI_DLANE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233181,30,FGG21_gp030,PBI_DLANE_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1034101,40233182,31,FGG21_gp031,PBI_DLANE_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
