#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897549,63925773,2,KDW70_gp02,PBI_TAHEERA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210422,-
1897549,63925774,3,KDW70_gp03,PBI_TAHEERA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210422,-
1897549,63925775,4,KDW70_gp04,PBI_TAHEERA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210422,-
1897549,63925776,5,KDW70_gp05,PBI_TAHEERA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925777,6,KDW70_gp06,PBI_TAHEERA_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210422,-
1897549,63925778,7,KDW70_gp07,PBI_TAHEERA_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210422,-
1897549,63925779,8,KDW70_gp08,PBI_TAHEERA_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210422,-
1897549,63925780,9,KDW70_gp09,PBI_TAHEERA_9,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210422,-
1897549,63925781,10,KDW70_gp10,PBI_TAHEERA_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210422,-
1897549,63925782,11,KDW70_gp11,PBI_TAHEERA_11,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210422,-
1897549,63925783,12,KDW70_gp12,PBI_TAHEERA_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210422,-
1897549,63925784,13,KDW70_gp13,PBI_TAHEERA_13,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210422,-
1897549,63925785,15,KDW70_gp14,PBI_TAHEERA_15,-,-,-,tail assembly chaperone protein,protein-coding,-,-,-,tail assembly chaperone protein,20210422,-
1897549,63925786,16,KDW70_gp16,PBI_TAHEERA_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210422,-
1897549,63925787,14,KDW70_gp15,PBI_TAHEERA_14,-,-,-,tail chaperone protein,protein-coding,-,-,-,tail chaperone protein,20210422,-
1897549,63925788,17,KDW70_gp17,PBI_TAHEERA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
1897549,63925789,18,KDW70_gp18,PBI_TAHEERA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
1897549,63925790,19,KDW70_gp19,PBI_TAHEERA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
1897549,63925791,20,KDW70_gp20,PBI_TAHEERA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
1897549,63925792,21,KDW70_gp21,PBI_TAHEERA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
1897549,63925793,22,KDW70_gp22,PBI_TAHEERA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
1897549,63925794,23,KDW70_gp23,PBI_TAHEERA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925795,24,KDW70_gp24,PBI_TAHEERA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925796,25,KDW70_gp25,PBI_TAHEERA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925797,26,KDW70_gp26,PBI_TAHEERA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925798,27,KDW70_gp27,PBI_TAHEERA_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210422,-
1897549,63925799,28,KDW70_gp28,PBI_TAHEERA_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210422,-
1897549,63925800,29,KDW70_gp29,PBI_TAHEERA_29,-,-,-,holin,protein-coding,-,-,-,holin,20210422,-
1897549,63925801,30,KDW70_gp30,PBI_TAHEERA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925802,31,KDW70_gp31,PBI_TAHEERA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925803,32,KDW70_gp32,PBI_TAHEERA_32,-,-,-,integrase,protein-coding,-,-,-,integrase,20210422,-
1897549,63925804,33,KDW70_gp33,PBI_TAHEERA_33,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210422,-
