#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655013,40079509,FDH71_gp02,FDH71_gp02,KEIKI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655013,40079510,FDH71_gp03,FDH71_gp03,KEIKI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655013,40079511,FDH71_gp04,FDH71_gp04,KEIKI_4,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655013,40079512,FDH71_gp05,FDH71_gp05,KEIKI_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655013,40079513,FDH71_gp06,FDH71_gp06,KEIKI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655013,40079514,FDH71_gp07,FDH71_gp07,KEIKI_7,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655013,40079515,FDH71_gp08,FDH71_gp08,KEIKI_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655013,40079516,FDH71_gp09,FDH71_gp09,KEIKI_9,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655013,40079517,FDH71_gp10,FDH71_gp10,KEIKI_10,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655013,40079518,FDH71_gp11,FDH71_gp11,KEIKI_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655013,40079519,FDH71_gp12,FDH71_gp12,KEIKI_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655013,40079520,FDH71_gp14,FDH71_gp14,KEIKI_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655013,40079521,FDH71_gp13,FDH71_gp13,KEIKI_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
