#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1978922,55603030,HWB15_gp002,HWB15_gp002,phiA829_001,-,-,-,putative ribonuclease HI,protein-coding,-,-,-,putative ribonuclease HI,20210424,-
1978922,55603031,HWB15_gp003,HWB15_gp003,phiA829_002,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20210424,-
1978922,55603032,HWB15_gp004,HWB15_gp004,phiA829_003,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20210424,-
1978922,55603033,HWB15_gp005,HWB15_gp005,phiA829_004,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210424,-
1978922,55603034,HWB15_gp006,HWB15_gp006,phiA829_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603035,HWB15_gp007,HWB15_gp007,phiA829_006,-,-,-,putative RNA polymerase sigma factor,protein-coding,-,-,-,putative RNA polymerase sigma factor,20210424,-
1978922,55603036,HWB15_gp008,HWB15_gp008,phiA829_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603037,HWB15_gp009,HWB15_gp009,phiA829_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603038,HWB15_gp010,HWB15_gp010,phiA829_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603039,HWB15_gp011,HWB15_gp011,phiA829_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603040,HWB15_gp012,HWB15_gp012,phiA829_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603041,HWB15_gp013,HWB15_gp013,phiA829_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603042,HWB15_gp014,HWB15_gp014,phiA829_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603043,HWB15_gp015,HWB15_gp015,phiA829_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603044,HWB15_gp016,HWB15_gp016,phiA829_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603045,HWB15_gp017,HWB15_gp017,phiA829_016,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210424,-
1978922,55603046,HWB15_gp018,HWB15_gp018,phiA829_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603047,HWB15_gp019,HWB15_gp019,phiA829_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603048,HWB15_gp020,HWB15_gp020,phiA829_019,-,-,-,pyridoxal-phosphate dependent enzyme,protein-coding,-,-,-,pyridoxal-phosphate dependent enzyme,20210424,-
1978922,55603049,HWB15_gp021,HWB15_gp021,phiA829_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603050,HWB15_gp022,HWB15_gp022,phiA829_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603051,HWB15_gp023,HWB15_gp023,phiA829_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603052,HWB15_gp024,HWB15_gp024,phiA829_023,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210424,-
