#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965361,40075809,FDH35_gp02,FDH35_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1965361,40075810,FDH35_gp03,FDH35_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075811,FDH35_gp04,FDH35_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075812,FDH35_gp05,FDH35_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075813,FDH35_gp06,FDH35_gp06,-,-,-,-,capsid portal protein,protein-coding,-,-,-,capsid portal protein,20201221,-
1965361,40075814,FDH35_gp07,FDH35_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075815,FDH35_gp08,FDH35_gp08,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1965361,40075816,FDH35_gp09,FDH35_gp09,-,-,-,-,putative membrane-associated protein,protein-coding,-,-,-,putative membrane-associated protein,20201221,-
1965361,40075817,FDH35_gp10,FDH35_gp10,-,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20201221,-
1965361,40075818,FDH35_gp11,FDH35_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075819,FDH35_gp12,FDH35_gp12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1965361,40075820,FDH35_gp13,FDH35_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075821,FDH35_gp14,FDH35_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075822,FDH35_gp15,FDH35_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075823,FDH35_gp16,FDH35_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075824,FDH35_gp17,FDH35_gp17,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1965361,40075825,FDH35_gp18,FDH35_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075826,FDH35_gp19,FDH35_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075827,FDH35_gp20,FDH35_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075828,FDH35_gp21,FDH35_gp21,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20201221,-
1965361,40075829,FDH35_gp22,FDH35_gp22,-,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20201221,-
1965361,40075830,FDH35_gp23,FDH35_gp23,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
