#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500802,24657177,ACQ81_gp02,ACQ81_gp02,PHL055N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500802,24657178,ACQ81_gp03,ACQ81_gp03,PHL055N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500802,24657179,ACQ81_gp04,ACQ81_gp04,PHL055N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657180,ACQ81_gp05,ACQ81_gp05,PHL055N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500802,24657181,ACQ81_gp06,ACQ81_gp06,PHL055N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500802,24657182,ACQ81_gp07,ACQ81_gp07,PHL055N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657183,ACQ81_gp08,ACQ81_gp08,PHL055N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657184,ACQ81_gp09,ACQ81_gp09,PHL055N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657185,ACQ81_gp10,ACQ81_gp10,PHL055N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657186,ACQ81_gp11,ACQ81_gp11,PHL055N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500802,24657187,ACQ81_gp12,ACQ81_gp12,PHL055N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657188,ACQ81_gp13,ACQ81_gp13,PHL055N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657189,ACQ81_gp14,ACQ81_gp14,PHL055N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500802,24657190,ACQ81_gp15,ACQ81_gp15,PHL055N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500802,24657191,ACQ81_gp16,ACQ81_gp16,PHL055N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500802,24657192,ACQ81_gp17,ACQ81_gp17,PHL055N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657193,ACQ81_gp18,ACQ81_gp18,PHL055N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657194,ACQ81_gp19,ACQ81_gp19,PHL055N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500802,24657195,ACQ81_gp20,ACQ81_gp20,PHL055N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500802,24657196,ACQ81_gp21,ACQ81_gp21,PHL055N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500802,24657197,ACQ81_gp22,ACQ81_gp22,PHL055N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657198,ACQ81_gp23,ACQ81_gp23,PHL055N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500802,24657199,ACQ81_gp24,ACQ81_gp24,PHL055N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657200,ACQ81_gp25,ACQ81_gp25,PHL055N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657201,ACQ81_gp26,ACQ81_gp26,PHL055N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657202,ACQ81_gp27,ACQ81_gp27,PHL055N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657203,ACQ81_gp28,ACQ81_gp28,PHL055N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657204,ACQ81_gp29,ACQ81_gp29,PHL055N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657205,ACQ81_gp30,ACQ81_gp30,PHL055N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500802,24657206,ACQ81_gp31,ACQ81_gp31,PHL055N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500802,24657207,ACQ81_gp32,ACQ81_gp32,PHL055N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657208,ACQ81_gp33,ACQ81_gp33,PHL055N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500802,24657209,ACQ81_gp34,ACQ81_gp34,PHL055N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657210,ACQ81_gp35,ACQ81_gp35,PHL055N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657211,ACQ81_gp36,ACQ81_gp36,PHL055N00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500802,24657212,ACQ81_gp37,ACQ81_gp37,PHL055N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657213,ACQ81_gp38,ACQ81_gp38,PHL055N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657214,ACQ81_gp39,ACQ81_gp39,PHL055N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657215,ACQ81_gp40,ACQ81_gp40,PHL055N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500802,24657216,ACQ81_gp41,ACQ81_gp41,PHL055N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
