#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500807,24721908,ACQ78_gp02,ACQ78_gp02,PHL070N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500807,24721909,ACQ78_gp03,ACQ78_gp03,PHL070N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500807,24721910,ACQ78_gp04,ACQ78_gp04,PHL070N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721911,ACQ78_gp05,ACQ78_gp05,PHL070N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500807,24721912,ACQ78_gp06,ACQ78_gp06,PHL070N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500807,24721913,ACQ78_gp07,ACQ78_gp07,PHL070N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721914,ACQ78_gp08,ACQ78_gp08,PHL070N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721915,ACQ78_gp09,ACQ78_gp09,PHL070N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721916,ACQ78_gp10,ACQ78_gp10,PHL070N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721917,ACQ78_gp11,ACQ78_gp11,PHL070N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500807,24721918,ACQ78_gp12,ACQ78_gp12,PHL070N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721919,ACQ78_gp13,ACQ78_gp13,PHL070N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721920,ACQ78_gp14,ACQ78_gp14,PHL070N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500807,24721921,ACQ78_gp15,ACQ78_gp15,PHL070N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500807,24721922,ACQ78_gp16,ACQ78_gp16,PHL070N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500807,24721923,ACQ78_gp17,ACQ78_gp17,PHL070N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721924,ACQ78_gp18,ACQ78_gp18,PHL070N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721925,ACQ78_gp19,ACQ78_gp19,PHL070N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500807,24721926,ACQ78_gp20,ACQ78_gp20,PHL070N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500807,24721927,ACQ78_gp21,ACQ78_gp21,PHL070N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500807,24721928,ACQ78_gp22,ACQ78_gp22,PHL070N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721929,ACQ78_gp23,ACQ78_gp23,PHL070N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500807,24721930,ACQ78_gp24,ACQ78_gp24,PHL070N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721931,ACQ78_gp25,ACQ78_gp25,PHL070N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721932,ACQ78_gp26,ACQ78_gp26,PHL070N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
