#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458724,18938435,2,PBI_ALSFRO_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1458724,18938436,3,PBI_ALSFRO_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938437,4,PBI_ALSFRO_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938438,5,PBI_ALSFRO_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938439,6,PBI_ALSFRO_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938440,7,PBI_ALSFRO_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938441,8,PBI_ALSFRO_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938442,9,PBI_ALSFRO_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938443,10,PBI_ALSFRO_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938444,11,PBI_ALSFRO_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938445,12,PBI_ALSFRO_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938446,13,PBI_ALSFRO_13,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1458724,18938447,14,PBI_ALSFRO_14,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1458724,18938448,15,PBI_ALSFRO_15,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1458724,18938449,16,PBI_ALSFRO_16,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1458724,18938450,17,PBI_ALSFRO_17,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1458724,18938451,18,PBI_ALSFRO_18,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1458724,18938452,19,PBI_ALSFRO_19,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1458724,18938453,20,PBI_ALSFRO_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938454,21,PBI_ALSFRO_21,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1458724,18938455,22,PBI_ALSFRO_22,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1458724,18938456,23,PBI_ALSFRO_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938457,24,PBI_ALSFRO_24,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1458724,18938458,25,PBI_ALSFRO_25,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1458724,18938459,26,PBI_ALSFRO_26,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458724,18938460,27,PBI_ALSFRO_27,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458724,18938461,28,PBI_ALSFRO_28,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1458724,18938462,29,PBI_ALSFRO_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938463,30,PBI_ALSFRO_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938464,31,PBI_ALSFRO_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938465,32,PBI_ALSFRO_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938466,33,PBI_ALSFRO_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938467,34,PBI_ALSFRO_34,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938468,35,PBI_ALSFRO_35,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938469,36,PBI_ALSFRO_36,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458724,18938470,37,PBI_ALSFRO_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938471,38,PBI_ALSFRO_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938472,39,PBI_ALSFRO_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938473,40,PBI_ALSFRO_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938474,41,PBI_ALSFRO_41,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1458724,18938475,42,PBI_ALSFRO_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938476,43,PBI_ALSFRO_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938477,44,PBI_ALSFRO_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938478,45,PBI_ALSFRO_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938479,46,PBI_ALSFRO_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938480,47,PBI_ALSFRO_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938481,48,PBI_ALSFRO_48,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1458724,18938482,49,PBI_ALSFRO_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938483,50,PBI_ALSFRO_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938484,51,PBI_ALSFRO_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938485,52,PBI_ALSFRO_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938486,53,PBI_ALSFRO_53,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20201221,-
1458724,18938487,54,PBI_ALSFRO_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938488,55,PBI_ALSFRO_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938489,56,PBI_ALSFRO_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938490,57,PBI_ALSFRO_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938491,58,PBI_ALSFRO_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938492,59,PBI_ALSFRO_59,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1458724,18938493,60,PBI_ALSFRO_60,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1458724,18938494,61,PBI_ALSFRO_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938495,62,PBI_ALSFRO_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938496,63,PBI_ALSFRO_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938497,64,PBI_ALSFRO_64,-,-,-,-,Endo VII,protein-coding,-,-,-,Endo VII,20201221,-
1458724,18938498,65,PBI_ALSFRO_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938499,66,PBI_ALSFRO_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938500,67,PBI_ALSFRO_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938501,68,PBI_ALSFRO_68,-,-,-,-,NrdH-like protein,protein-coding,-,-,-,NrdH-like protein,20210406,-
1458724,18938502,69,PBI_ALSFRO_69,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210212,-
1458724,18938503,70,PBI_ALSFRO_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938504,71,PBI_ALSFRO_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938505,72,PBI_ALSFRO_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938506,73,PBI_ALSFRO_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938507,74,PBI_ALSFRO_74,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201221,-
1458724,18938508,75,PBI_ALSFRO_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938509,76,PBI_ALSFRO_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938510,77,PBI_ALSFRO_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938511,78,PBI_ALSFRO_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938512,79,PBI_ALSFRO_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938513,80,PBI_ALSFRO_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938514,81,PBI_ALSFRO_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938515,82,PBI_ALSFRO_82,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1458724,18938516,83,PBI_ALSFRO_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938517,84,PBI_ALSFRO_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938518,85,PBI_ALSFRO_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938519,86,PBI_ALSFRO_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938520,87,PBI_ALSFRO_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938521,88,PBI_ALSFRO_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938522,89,PBI_ALSFRO_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938523,90,PBI_ALSFRO_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938524,91,PBI_ALSFRO_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938525,92,PBI_ALSFRO_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938526,93,PBI_ALSFRO_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938527,94,PBI_ALSFRO_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938528,95,PBI_ALSFRO_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938529,96,PBI_ALSFRO_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938530,97,PBI_ALSFRO_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938531,98,PBI_ALSFRO_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18938532,1,PBI_ALSFRO_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458724,18983161,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Alsfro).,other,-,-,-,-,20200513,-
