#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
70600,921795,lef-2,EpnVgp005,-,-,-,-,LEF-2,protein-coding,-,-,-,LEF-2,20200908,-
70600,921796,ptp-1,EpnVgp008,-,-,-,-,PTP-1,protein-coding,-,-,-,PTP-1,20200908,-
70600,921797,lef-1,EpnVgp012,-,-,-,-,LEF-1,protein-coding,-,-,-,LEF-1,20200908,-
70600,921798,egt,EpnVgp013,-,-,-,-,EGT,protein-coding,-,-,-,EGT,20200908,-
70600,921799,arif-1,EpnVgp018,-,-,-,-,ARIF-1,protein-coding,-,-,-,ARIF-1,20200908,-
70600,921800,lef-11,EpnVgp022,-,-,-,-,LEF-11,protein-coding,-,-,-,LEF-11,20200908,-
70600,921801,39k,EpnVgp023,-,-,-,-,39K,protein-coding,-,-,-,39K,20200908,-
70600,921802,pol,EpnVgp002,-,-,-,-,Pol,protein-coding,-,-,-,Pol,20200908,-
70600,921803,ubi,EpnVgp024,-,-,-,-,UBI,protein-coding,-,-,-,UBI,20200908,-
70600,921804,fgf,EpnVgp026,-,-,-,-,FGF,protein-coding,-,-,-,FGF,20200908,-
70600,921805,iap-3,EpnVgp027,-,-,-,-,IAP-3,protein-coding,-,-,-,IAP-3,20200908,-
70600,921806,lef-6,EpnVgp033,-,-,-,-,LEF-6,protein-coding,-,-,-,LEF-6,20200908,-
70600,921807,iap-1,EpnVgp034,-,-,-,-,IAP-1,protein-coding,-,-,-,IAP-1,20200908,-
70600,921808,ssdbp,EpnVgp036,-,-,-,-,SSDBP,protein-coding,-,-,-,SSDBP,20200908,-
70600,921809,p47,EpnVgp038,-,-,-,-,P47,protein-coding,-,-,-,P47,20200908,-
70600,921810,gta,EpnVgp040,-,-,-,-,GTA,protein-coding,-,-,-,GTA,20200908,-
70600,921811,odv-e66,EpnVgp043,-,-,-,-,ODV-E66,protein-coding,-,-,-,ODV-E66,20200908,-
70600,921812,lef-8,EpnVgp046,-,-,-,-,LEF-8,protein-coding,-,-,-,LEF-8,20200908,-
70600,921813,lef-10,EpnVgp049,-,-,-,-,LEF-10,protein-coding,-,-,-,LEF-10,20200908,-
70600,921814,fp,EpnVgp056,-,-,-,-,FP,protein-coding,-,-,-,FP,20200908,-
70600,921815,lef-9,EpnVgp057,-,-,-,-,LEF-9,protein-coding,-,-,-,LEF-9,20200908,-
70600,921816,gp37,EpnVgp058,-,-,-,-,GP37,protein-coding,-,-,-,GP37,20200908,-
70600,921817,dnapol,EpnVgp059,-,-,-,-,DNAPOL,protein-coding,-,-,-,DNAPOL,20200908,-
70600,921818,lef-3,EpnVgp061,-,-,-,-,LEF-3,protein-coding,-,-,-,LEF-3,20200908,-
70600,921819,iap-2,EpnVgp064,-,-,-,-,iap-2,protein-coding,-,-,-,iap-2,20200908,-
70600,921820,vlf-1,EpnVgp070,-,-,-,-,VLF-1,protein-coding,-,-,-,VLF-1,20200908,-
70600,921821,gp41,EpnVgp073,-,-,-,-,GP41,protein-coding,-,-,-,GP41,20200908,-
70600,921822,cg30,EpnVgp077,-,-,-,-,CG30,protein-coding,-,-,-,CG30,20200908,-
