#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2065203,65111136,KNT81_gp002,KNT81_gp002,phiP43_002,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2065203,65111137,KNT81_gp003,KNT81_gp003,phiP43_003,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210607,-
2065203,65111138,KNT81_gp004,KNT81_gp004,phiP43_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111139,KNT81_gp005,KNT81_gp005,phiP43_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111140,KNT81_gp006,KNT81_gp006,phiP43_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111141,KNT81_gp007,KNT81_gp007,phiP43_007,-,-,-,activator of middle transcription,protein-coding,-,-,-,activator of middle transcription,20210607,-
2065203,65111142,KNT81_gp008,KNT81_gp008,phiP43_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111143,KNT81_gp009,KNT81_gp009,phiP43_009,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210607,-
2065203,65111144,KNT81_gp010,KNT81_gp010,phiP43_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111145,KNT81_gp011,KNT81_gp011,phiP43_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111146,KNT81_gp012,KNT81_gp012,phiP43_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111147,KNT81_gp013,KNT81_gp013,phiP43_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111148,KNT81_gp014,KNT81_gp014,phiP43_014,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210607,-
2065203,65111149,KNT81_gp015,KNT81_gp015,phiP43_015,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20210607,-
2065203,65111150,KNT81_gp016,KNT81_gp016,phiP43_016,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
2065203,65111151,KNT81_gp017,KNT81_gp017,phiP43_017,-,-,-,long tail fiber distal connector,protein-coding,-,-,-,long tail fiber distal connector,20210607,-
2065203,65111152,KNT81_gp018,KNT81_gp018,phiP43_018,-,-,-,long tail fiber proximal connector,protein-coding,-,-,-,long tail fiber proximal connector,20210607,-
2065203,65111153,KNT81_gp019,KNT81_gp019,phiP43_019,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2065203,65111154,KNT81_gp020,KNT81_gp020,phiP43_020,-,-,-,RNase H,protein-coding,-,-,-,RNase H,20210607,-
2065203,65111155,KNT81_gp021,KNT81_gp021,phiP43_021,-,-,-,dsDNA binding protein,protein-coding,-,-,-,dsDNA binding protein,20210607,-
2065203,65111156,KNT81_gp022,KNT81_gp022,phiP43_022,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2065203,65111157,KNT81_gp023,KNT81_gp023,phiP43_023,-,-,-,DNA helicase loading protein,protein-coding,-,-,-,DNA helicase loading protein,20210607,-
2065203,65111158,KNT81_gp024,KNT81_gp024,phiP43_024,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2065203,65111159,KNT81_gp025,KNT81_gp025,phiP43_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111160,KNT81_gp026,KNT81_gp026,phiP43_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111161,KNT81_gp027,KNT81_gp027,phiP43_027,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2065203,65111162,KNT81_gp028,KNT81_gp028,phiP43_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111163,KNT81_gp029,KNT81_gp029,phiP43_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
