#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327976,16796704,Phi12:1_gp62,Phi12:1_gp62,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1327976,16796705,Phi12:1_gp61,Phi12:1_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796706,Phi12:1_gp60,Phi12:1_gp60,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20201221,-
1327976,16796707,Phi12:1_gp8,Phi12:1_gp8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796708,Phi12:1_gp59,Phi12:1_gp59,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1327976,16796709,Phi12:1_gp58,Phi12:1_gp58,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1327976,16796710,Phi12:1_gp1,Phi12:1_gp1,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1327976,16796711,Phi12:1_gp57,Phi12:1_gp57,-,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20201221,-
1327976,16796712,Phi12:1_gp63,Phi12:1_gp63,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1327976,16796713,Phi12:1_gp56,Phi12:1_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796714,Phi12:1_gp55,Phi12:1_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796715,Phi12:1_gp54,Phi12:1_gp54,-,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20201221,-
1327976,16796716,Phi12:1_gp53,Phi12:1_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796717,Phi12:1_gp52,Phi12:1_gp52,-,-,-,-,putative phage tail component,protein-coding,-,-,-,putative phage tail component,20201221,-
1327976,16796718,Phi12:1_gp51,Phi12:1_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796719,Phi12:1_gp50,Phi12:1_gp50,-,-,-,-,putative phage tail fiber,protein-coding,-,-,-,putative phage tail fiber,20201221,-
1327976,16796720,Phi12:1_gp4,Phi12:1_gp4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796721,Phi12:1_gp49,Phi12:1_gp49,-,-,-,-,phage head-tail joining protein,protein-coding,-,-,-,phage head-tail joining protein,20201221,-
1327976,16796722,Phi12:1_gp9,Phi12:1_gp9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796723,Phi12:1_gp48,Phi12:1_gp48,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1327976,16796724,Phi12:1_gp47,Phi12:1_gp47,-,-,-,-,phage major capsid protein,protein-coding,-,-,-,phage major capsid protein,20201221,-
1327976,16796725,Phi12:1_gp5,Phi12:1_gp5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796726,Phi12:1_gp46,Phi12:1_gp46,-,-,-,-,phage prohead protease protein,protein-coding,-,-,-,phage prohead protease protein,20201221,-
1327976,16796727,Phi12:1_gp45,Phi12:1_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796728,Phi12:1_gp44,Phi12:1_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796729,Phi12:1_gp3,Phi12:1_gp3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796730,Phi12:1_gp43,Phi12:1_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796731,Phi12:1_gp42,Phi12:1_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796732,Phi12:1_gp41,Phi12:1_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796733,Phi12:1_gp40,Phi12:1_gp40,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201221,-
1327976,16796734,Phi12:1_gp39,Phi12:1_gp39,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1327976,16796735,Phi12:1_gp38,Phi12:1_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796736,Phi12:1_gp37,Phi12:1_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796737,Phi12:1_gp36,Phi12:1_gp36,-,-,-,-,phage minor capsid protein,protein-coding,-,-,-,phage minor capsid protein,20201221,-
