#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10702,2716608,int,VWBp61,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
10702,2732807,VWBp19,VWBp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732808,VWBp20,VWBp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732809,VWBp28,VWBp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732810,VWBp42,VWBp42,-,-,-,-,ORF6,protein-coding,-,-,-,ORF6,20201220,-
10702,2732811,VWBp43,VWBp43,-,-,-,-,ORF7,protein-coding,-,-,-,ORF7,20201220,-
10702,2732812,VWBp05,VWBp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732813,VWBp06,VWBp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732814,VWBp55,VWBp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732815,VWBp52,VWBp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732816,VWBp18,VWBp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732817,VWBp22,VWBp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732818,VWBp23,VWBp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732819,VWBp26,VWBp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732820,VWBp01,VWBp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732821,VWBp44,VWBp44,-,-,-,-,ORFp27,protein-coding,-,-,-,ORFp27|structural protein,20201220,-
10702,2732822,VWBp31,VWBp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732823,VWBp56,VWBp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732824,VWBp29,VWBp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732825,VWBp30,VWBp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732826,VWBp10,VWBp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732827,VWBp11,VWBp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732828,VWBp34,VWBp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732829,VWBp08,VWBp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732830,VWBp09,VWBp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732831,VWBp07,VWBp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732832,VWBp13,VWBp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732833,VWBp14,VWBp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732834,VWBp57,VWBp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732835,VWBp58,VWBp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732836,VWBp15,VWBp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732837,VWBp45,VWBp45,-,-,-,-,ORF8,protein-coding,-,-,-,ORF8,20201220,-
10702,2732838,VWBp46,VWBp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732839,VWBp47,VWBp47,-,-,-,-,ORF9,protein-coding,-,-,-,ORF9,20201220,-
10702,2732840,VWBp59,VWBp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732841,VWBp60,VWBp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732842,VWBp16,VWBp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732843,VWBp17,VWBp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732844,VWBp49,VWBp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732845,VWBp50,VWBp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732846,VWBp36,VWBp36,-,-,-,-,ORF2,protein-coding,-,-,-,ORF2,20201220,-
10702,2732847,VWBp37,VWBp37,-,-,-,-,ORFp14,protein-coding,-,-,-,ORFp14|structural protein,20201220,-
10702,2732848,VWBp48,VWBp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732849,VWBp53,VWBp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732850,VWBp54,VWBp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732851,VWBp40,VWBp40,-,-,-,-,ORF4,protein-coding,-,-,-,ORF4,20201220,-
10702,2732852,VWBp41,VWBp41,-,-,-,-,ORF5,protein-coding,-,-,-,ORF5,20201220,-
10702,2732853,VWBp35,VWBp35,-,-,-,-,ORF1,protein-coding,-,-,-,ORF1,20201220,-
10702,2732854,VWBp33,VWBp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732855,VWBp02,VWBp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732856,VWBp51,VWBp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732857,VWBp32,VWBp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732858,VWBp24,VWBp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732859,VWBp12,VWBp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732860,VWBp25,VWBp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732861,VWBp21,VWBp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732862,VWBp27,VWBp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732863,VWBp04,VWBp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2732864,VWBp38,VWBp38,-,-,-,-,ORFp38,protein-coding,-,-,-,ORFp38|structural protein,20201220,-
10702,2732865,VWBp39,VWBp39,-,-,-,-,ORF3,protein-coding,-,-,-,ORF3,20201220,-
10702,2732866,VWBp03,VWBp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10702,2828459,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Actinophage VWB; Bacteriophage VWB).,other,-,-,-,-,20200513,-
