#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
938131,10100608,2,PBI_WEE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
938131,10100609,3,PBI_WEE_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
938131,10100610,4,PBI_WEE_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
938131,10100611,5,PBI_WEE_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
938131,10100612,6,PBI_WEE_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
938131,10100613,7,PBI_WEE_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
938131,10100614,8,PBI_WEE_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
938131,10100615,9,PBI_WEE_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
938131,10100616,10,PBI_WEE_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
938131,10100617,11,PBI_WEE_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
938131,10100618,12,PBI_WEE_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
938131,10100619,14,PBI_WEE_14,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
938131,10100620,13,PBI_WEE_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
938131,10100621,15,PBI_WEE_15,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
938131,10100622,16,PBI_WEE_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100623,17,PBI_WEE_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100624,18,PBI_WEE_18,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
938131,10100625,19,PBI_WEE_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
938131,10100626,20,PBI_WEE_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100627,21,PBI_WEE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100628,22,PBI_WEE_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
