#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201436,54993229,2,HOT41_gp02,SEA_MEMENTOMORI_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20200912,-
2201436,54993230,3,HOT41_gp03,SEA_MEMENTOMORI_3,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210129,-
2201436,54993231,4,HOT41_gp04,SEA_MEMENTOMORI_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2201436,54993232,5,HOT41_gp05,SEA_MEMENTOMORI_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993233,6,HOT41_gp06,SEA_MEMENTOMORI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993234,7,HOT41_gp07,SEA_MEMENTOMORI_7,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200910,-
2201436,54993235,8,HOT41_gp08,SEA_MEMENTOMORI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993236,9,HOT41_gp09,SEA_MEMENTOMORI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993237,10,HOT41_gp10,SEA_MEMENTOMORI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993238,11,HOT41_gp11,SEA_MEMENTOMORI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201436,54993239,12,HOT41_gt01,SEA_MEMENTOMORI_12,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2201436,54993240,13,HOT41_gp96,SEA_MEMENTOMORI_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2201436,54993241,14,HOT41_gp95,SEA_MEMENTOMORI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993242,15,HOT41_gp94,SEA_MEMENTOMORI_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210129,-
2201436,54993243,16,HOT41_gp93,SEA_MEMENTOMORI_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993244,17,HOT41_gp92,SEA_MEMENTOMORI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
