#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2072797,55607481,HWB53_gp02,HWB53_gp02,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
2072797,55607482,HWB53_gp03,HWB53_gp03,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
2072797,55607483,HWB53_gp04,HWB53_gp04,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2072797,55607484,HWB53_gp05,HWB53_gp05,-,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210424,-
2072797,55607485,HWB53_gp06,HWB53_gp06,-,-,-,-,nucleoside triphosphate hyrolase,protein-coding,-,-,-,nucleoside triphosphate hyrolase,20210424,-
2072797,55607486,HWB53_gp07,HWB53_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607487,HWB53_gp08,HWB53_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607488,HWB53_gp09,HWB53_gp09,-,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20210424,-
2072797,55607489,HWB53_gp10,HWB53_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607490,HWB53_gp11,HWB53_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607491,HWB53_gp12,HWB53_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607492,HWB53_gp13,HWB53_gp13,-,-,-,-,NAD-dependent epimerase/ dehyrdatase,protein-coding,-,-,-,NAD-dependent epimerase/ dehyrdatase,20201221,-
2072797,55607493,HWB53_gp14,HWB53_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607494,HWB53_gp15,HWB53_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607495,HWB53_gp16,HWB53_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607496,HWB53_gp17,HWB53_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607497,HWB53_gp18,HWB53_gp18,-,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20201221,-
2072797,55607498,HWB53_gp19,HWB53_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607499,HWB53_gp20,HWB53_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607500,HWB53_gp21,HWB53_gp21,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
