#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079288,40099207,FDJ28_gp02,FDJ28_gp02,PsPhBjorn_gp68,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2079288,40099208,FDJ28_gp03,FDJ28_gp03,PsPhBjorn_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099209,FDJ28_gp04,FDJ28_gp04,PsPhBjorn_gp66,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
2079288,40099210,FDJ28_gp05,FDJ28_gp05,PsPhBjorn_gp65,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
2079288,40099211,FDJ28_gp06,FDJ28_gp06,PsPhBjorn_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099212,FDJ28_gp07,FDJ28_gp07,PsPhBjorn_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099213,FDJ28_gp08,FDJ28_gp08,PsPhBjorn_gp62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099214,FDJ28_gp09,FDJ28_gp09,PsPhBjorn_gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099215,FDJ28_gp10,FDJ28_gp10,PsPhBjorn_gp60,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
2079288,40099216,FDJ28_gp11,FDJ28_gp11,PsPhBjorn_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099217,FDJ28_gp12,FDJ28_gp12,PsPhBjorn_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099218,FDJ28_gp13,FDJ28_gp13,PsPhBjorn_gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099219,FDJ28_gp14,FDJ28_gp14,PsPhBjorn_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099220,FDJ28_gp15,FDJ28_gp15,PsPhBjorn_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099221,FDJ28_gp16,FDJ28_gp16,PsPhBjorn_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099222,FDJ28_gp17,FDJ28_gp17,PsPhBjorn_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099223,FDJ28_gp18,FDJ28_gp18,PsPhBjorn_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099224,FDJ28_gp19,FDJ28_gp19,PsPhBjorn_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099225,FDJ28_gp20,FDJ28_gp20,PsPhBjorn_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099226,FDJ28_gp21,FDJ28_gp21,PsPhBjorn_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099227,FDJ28_gp22,FDJ28_gp22,PsPhBjorn_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099228,FDJ28_gp23,FDJ28_gp23,PsPhBjorn_gp47,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
2079288,40099229,FDJ28_gp24,FDJ28_gp24,PsPhBjorn_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099230,FDJ28_gp25,FDJ28_gp25,PsPhBjorn_gp45,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2079288,40099231,FDJ28_gp26,FDJ28_gp26,PsPhBjorn_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099232,FDJ28_gp27,FDJ28_gp27,PsPhBjorn_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099233,FDJ28_gp28,FDJ28_gp28,PsPhBjorn_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099234,FDJ28_gp29,FDJ28_gp29,PsPhBjorn_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099235,FDJ28_gp30,FDJ28_gp30,PsPhBjorn_gp40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099236,FDJ28_gp31,FDJ28_gp31,PsPhBjorn_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099237,FDJ28_gp32,FDJ28_gp32,PsPhBjorn_gp38,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2079288,40099238,FDJ28_gp33,FDJ28_gp33,PsPhBjorn_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099239,FDJ28_gp34,FDJ28_gp34,PsPhBjorn_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099240,FDJ28_gp35,FDJ28_gp35,PsPhBjorn_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099241,FDJ28_gp36,FDJ28_gp36,PsPhBjorn_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099242,FDJ28_gp37,FDJ28_gp37,PsPhBjorn_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099243,FDJ28_gp38,FDJ28_gp38,PsPhBjorn_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099244,FDJ28_gp39,FDJ28_gp39,PsPhBjorn_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099245,FDJ28_gp40,FDJ28_gp40,PsPhBjorn_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099246,FDJ28_gp41,FDJ28_gp41,PsPhBjorn_gp29,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
2079288,40099247,FDJ28_gp42,FDJ28_gp42,PsPhBjorn_gp28,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
2079288,40099248,FDJ28_gp43,FDJ28_gp43,PsPhBjorn_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099249,FDJ28_gp44,FDJ28_gp44,PsPhBjorn_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099250,FDJ28_gp45,FDJ28_gp45,PsPhBjorn_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099251,FDJ28_gp46,FDJ28_gp46,PsPhBjorn_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099252,FDJ28_gp47,FDJ28_gp47,PsPhBjorn_gp23,-,-,-,glutamine amidotransferase,protein-coding,-,-,-,glutamine amidotransferase,20201221,-
2079288,40099253,FDJ28_gp48,FDJ28_gp48,PsPhBjorn_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099254,FDJ28_gp49,FDJ28_gp49,PsPhBjorn_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099255,FDJ28_gp50,FDJ28_gp50,PsPhBjorn_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099256,FDJ28_gp51,FDJ28_gp51,PsPhBjorn_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099257,FDJ28_gp52,FDJ28_gp52,PsPhBjorn_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099258,FDJ28_gp53,FDJ28_gp53,PsPhBjorn_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099259,FDJ28_gp54,FDJ28_gp54,PsPhBjorn_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099260,FDJ28_gp55,FDJ28_gp55,PsPhBjorn_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099261,FDJ28_gp56,FDJ28_gp56,PsPhBjorn_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099262,FDJ28_gp57,FDJ28_gp57,PsPhBjorn_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099263,FDJ28_gp58,FDJ28_gp58,PsPhBjorn_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099264,FDJ28_gp59,FDJ28_gp59,PsPhBjorn_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099265,FDJ28_gp60,FDJ28_gp60,PsPhBjorn_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099266,FDJ28_gp61,FDJ28_gp61,PsPhBjorn_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099267,FDJ28_gp62,FDJ28_gp62,PsPhBjorn_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099268,FDJ28_gp63,FDJ28_gp63,PsPhBjorn_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099269,FDJ28_gp64,FDJ28_gp64,PsPhBjorn_gp06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099270,FDJ28_gp65,FDJ28_gp65,PsPhBjorn_gp05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099271,FDJ28_gp66,FDJ28_gp66,PsPhBjorn_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099272,FDJ28_gp67,FDJ28_gp67,PsPhBjorn_gp03,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
2079288,40099273,FDJ28_gp68,FDJ28_gp68,PsPhBjorn_gp02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40099274,FDJ28_gp69,FDJ28_gp69,PsPhBjorn_gp01,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2079288,40099275,FDJ28_gp01,FDJ28_gp01,PsPhBjorn_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079288,40120544,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
