#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
213774,55803377,HYO75_gp02,HYO75_gp02,P475_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210417,-
213774,55803378,HYO75_gp03,HYO75_gp03,P475_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200912,-
213774,55803379,HYO75_gp04,HYO75_gp04,P475_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210417,-
213774,55803380,HYO75_gp05,HYO75_gp05,P475_005,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20210417,-
213774,55803381,HYO75_gp06,HYO75_gp06,P475_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803382,HYO75_gp07,HYO75_gp07,P475_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803383,HYO75_gp08,HYO75_gp08,P475_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803384,HYO75_gp09,HYO75_gp09,P475_009,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213774,55803385,HYO75_gp10,HYO75_gp10,P475_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803386,HYO75_gp11,HYO75_gp11,P475_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803387,HYO75_gp12,HYO75_gp12,P475_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803388,HYO75_gp13,HYO75_gp13,P475_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803389,HYO75_gp14,HYO75_gp14,P475_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
