#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
754043,15011839,SUBG_00002,SUBG_00002,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201026,-
754043,15011840,SUBG_00003,SUBG_00003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011841,SUBG_00004,SUBG_00004,-,-,-,-,reprolysin/zinc metalloprotease,protein-coding,-,-,-,reprolysin/zinc metalloprotease,20200629,-
754043,15011842,SUBG_00005,SUBG_00005,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
754043,15011843,SUBG_00006,SUBG_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011844,SUBG_00007,SUBG_00007,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
754043,15011845,SUBG_00008,SUBG_00008,-,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20200629,-
754043,15011846,SUBG_00009,SUBG_00009,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
754043,15011847,SUBG_00010,SUBG_00010,-,-,-,-,peptidoglycan hydrolase,protein-coding,-,-,-,peptidoglycan hydrolase,20200629,-
754043,15011848,SUBG_00011,SUBG_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011849,SUBG_00012,SUBG_00012,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
754043,15011850,SUBG_00013,SUBG_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011851,SUBG_00014,SUBG_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011852,SUBG_00015,SUBG_00015,-,-,-,-,glycoside hydrolase family 108 protein,protein-coding,-,-,-,glycoside hydrolase family 108 protein,20201220,-
754043,15011853,SUBG_00016,SUBG_00016,-,-,-,-,molybdopterin binding protein,protein-coding,-,-,-,molybdopterin binding protein,20200629,-
754043,15011854,SUBG_00017,SUBG_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011855,SUBG_00018,SUBG_00018,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20201220,-
754043,15011856,SUBG_00019,SUBG_00019,-,-,-,-,trypsin-like peptidase domain-containing protein,protein-coding,-,-,-,trypsin-like peptidase domain-containing protein,20201220,-
754043,15011857,SUBG_00020,SUBG_00020,-,-,-,-,putative oxidoreductase,protein-coding,-,-,-,putative oxidoreductase,20201026,-
754043,15011858,SUBG_00021,SUBG_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011859,SUBG_00022,SUBG_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011860,SUBG_00023,SUBG_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011861,SUBG_00024,SUBG_00024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011862,SUBG_00025,SUBG_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011863,SUBG_00075,SUBG_00075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011864,SUBG_00076,SUBG_00076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011865,SUBG_00028,SUBG_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011866,SUBG_00029,SUBG_00029,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
754043,15011867,SUBG_00030,SUBG_00030,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
754043,15011868,SUBG_00031,SUBG_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011869,SUBG_00032,SUBG_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011870,SUBG_00033,SUBG_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011871,SUBG_00034,SUBG_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011872,SUBG_00035,SUBG_00035,-,-,-,-,DUF1364 family protein,protein-coding,-,-,-,DUF1364 family protein,20201220,-
754043,15011873,SUBG_00036,SUBG_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011874,SUBG_00037,SUBG_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011875,SUBG_00038,SUBG_00038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011876,SUBG_00039,SUBG_00039,-,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20200629,-
754043,15011877,SUBG_00040,SUBG_00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011878,SUBG_00041,SUBG_00041,-,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20200629,-
754043,15011879,SUBG_00042,SUBG_00042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011880,SUBG_00043,SUBG_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011881,SUBG_00044,SUBG_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011882,SUBG_00045,SUBG_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011883,SUBG_00046,SUBG_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011884,SUBG_00047,SUBG_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011885,SUBG_00048,SUBG_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011886,SUBG_00049,SUBG_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011887,SUBG_00050,SUBG_00050,-,-,-,-,XRE-like HTH transcriptional regulator,protein-coding,-,-,-,XRE-like HTH transcriptional regulator,20200629,-
754043,15011888,SUBG_00051,SUBG_00051,-,-,-,-,putative dehydrogenase,protein-coding,-,-,-,putative dehydrogenase,20200629,-
754043,15011889,SUBG_00052,SUBG_00052,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
754043,15011890,SUBG_00053,SUBG_00053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011891,SUBG_00054,SUBG_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011892,SUBG_00055,SUBG_00055,-,-,-,-,DUF1376 domain-containing protein,protein-coding,-,-,-,DUF1376 domain-containing protein,20200629,-
754043,15011893,SUBG_00056,SUBG_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011894,SUBG_00057,SUBG_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011895,SUBG_00058,SUBG_00058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011896,SUBG_00059,SUBG_00059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011897,SUBG_00060,SUBG_00060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011898,SUBG_00061,SUBG_00061,-,-,-,-,glutamate dehydrogenase,protein-coding,-,-,-,glutamate dehydrogenase,20200629,-
754043,15011899,SUBG_00062,SUBG_00062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011900,SUBG_00063,SUBG_00063,-,-,-,-,DUF3307 domain-containing protein,protein-coding,-,-,-,DUF3307 domain-containing protein,20201220,-
754043,15011901,SUBG_00064,SUBG_00064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011902,SUBG_00065,SUBG_00065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
754043,15011903,SUBG_00066,SUBG_00066,-,-,-,-,putative GTPase Era,protein-coding,-,-,-,putative GTPase Era,20201026,-
754043,15011904,SUBG_00067,SUBG_00067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011905,SUBG_00068,SUBG_00068,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200629,-
754043,15011906,SUBG_00069,SUBG_00069,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201026,-
754043,15011907,SUBG_00070,SUBG_00070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011908,SUBG_00071,SUBG_00071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,15011910,SUBG_00001,SUBG_00001,-,-,-,-,DUF5309 domain-containing protein,protein-coding,-,-,-,DUF5309 domain-containing protein,20201220,-
754043,15102289,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
754043,19813851,SUBG_00073,SUBG_00073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
754043,19813852,SUBG_00074,SUBG_00074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
