#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1109711,11536313,terL,NoPhNBR1_gp03,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1109711,11536314,terS,NoPhNBR1_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1109711,11537642,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Nocardia bacteriophage NBR1).,other,-,-,-,-,20200513,-
1109711,11537870,NoPhNBR1_gp12,NoPhNBR1_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537871,NoPhNBR1_gp13,NoPhNBR1_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537872,NoPhNBR1_gp14,NoPhNBR1_gp14,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1109711,11537873,NoPhNBR1_gp15,NoPhNBR1_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537874,NoPhNBR1_gp16,NoPhNBR1_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537875,NoPhNBR1_gp17,NoPhNBR1_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537876,NoPhNBR1_gp18,NoPhNBR1_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537877,NoPhNBR1_gp19,NoPhNBR1_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537878,NoPhNBR1_gp20,NoPhNBR1_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537879,NoPhNBR1_gp21,NoPhNBR1_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537880,NoPhNBR1_gp22,NoPhNBR1_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537881,NoPhNBR1_gp23,NoPhNBR1_gp23,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
1109711,11537882,NoPhNBR1_gp24,NoPhNBR1_gp24,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
