#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696426,62613001,JR322_gp001,JR322_gp001,muut_1,-,-,-,putative head stabilization/decoration protein,protein-coding,-,-,-,putative head stabilization/decoration protein,20210208,-
2696426,62613002,JR322_gp002,JR322_gp002,muut_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696426,62613003,JR322_gp003,JR322_gp003,muut_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613004,JR322_gp004,JR322_gp004,muut_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613005,JR322_gp005,JR322_gp005,muut_5,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210313,-
2696426,62613006,JR322_gp006,JR322_gp006,muut_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613007,JR322_gp007,JR322_gp007,muut_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613008,JR322_gp008,JR322_gp008,muut_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613009,JR322_gt001,JR322_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613010,JR322_gt008,JR322_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613011,JR322_gt013,JR322_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20210208,-
2696426,62613012,JR322_gp236,JR322_gp236,muut_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613013,JR322_gp235,JR322_gp235,muut_13,-,-,-,nicotinate phosphoribosyltransferase,protein-coding,-,-,-,nicotinate phosphoribosyltransferase,20210313,-
2696426,62613014,JR322_gp234,JR322_gp234,muut_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613015,JR322_gp233,JR322_gp233,muut_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613016,JR322_gp232,JR322_gp232,muut_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613017,JR322_gp231,JR322_gp231,muut_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613018,JR322_gp230,JR322_gp230,muut_18,-,-,-,transposase-like protein,protein-coding,-,-,-,transposase-like protein,20210313,-
2696426,62613019,JR322_gp229,JR322_gp229,muut_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613020,JR322_gp228,JR322_gp228,muut_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613021,JR322_gp227,JR322_gp227,muut_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613022,JR322_gp226,JR322_gp226,muut_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613023,JR322_gp225,JR322_gp225,muut_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613024,JR322_gp224,JR322_gp224,muut_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613025,JR322_gp223,JR322_gp223,muut_25,-,-,-,putative RNA ligase,protein-coding,-,-,-,putative RNA ligase,20210313,-
2696426,62613026,JR322_gp222,JR322_gp222,muut_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2696426,62613027,JR322_gp221,JR322_gp221,muut_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613028,JR322_gp220,JR322_gp220,muut_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613029,JR322_gp219,JR322_gp219,muut_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613030,JR322_gp218,JR322_gp218,muut_30,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20210313,-
2696426,62613031,JR322_gp217,JR322_gp217,muut_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613032,JR322_gp216,JR322_gp216,muut_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613033,JR322_gp215,JR322_gp215,muut_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613034,JR322_gp214,JR322_gp214,muut_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613035,JR322_gp213,JR322_gp213,muut_35,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210313,-
2696426,62613036,JR322_gp212,JR322_gp212,muut_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613037,JR322_gp211,JR322_gp211,muut_37,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210313,-
2696426,62613038,JR322_gp210,JR322_gp210,muut_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696426,62613039,JR322_gp209,JR322_gp209,muut_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613040,JR322_gp208,JR322_gp208,muut_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613041,JR322_gp207,JR322_gp207,muut_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613042,JR322_gp206,JR322_gp206,muut_42,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210313,-
2696426,62613043,JR322_gp205,JR322_gp205,muut_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613044,JR322_gp204,JR322_gp204,muut_44,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210313,-
2696426,62613045,JR322_gp203,JR322_gp203,muut_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613046,JR322_gp202,JR322_gp202,muut_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613047,JR322_gp201,JR322_gp201,muut_47,-,-,-,ribonucleoside-diphosphate reductase large subunit,protein-coding,-,-,-,ribonucleoside-diphosphate reductase large subunit,20210313,-
2696426,62613048,JR322_gp200,JR322_gp200,muut_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613049,JR322_gp199,JR322_gp199,muut_49,-,-,-,ribonucleoside diphosphate reductase beta chain,protein-coding,-,-,-,ribonucleoside diphosphate reductase beta chain,20210313,-
2696426,62613050,JR322_gp198,JR322_gp198,muut_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613051,JR322_gp197,JR322_gp197,muut_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613052,JR322_gp196,JR322_gp196,muut_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613053,JR322_gp195,JR322_gp195,muut_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613054,JR322_gp194,JR322_gp194,muut_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613055,JR322_gp193,JR322_gp193,muut_55,-,-,-,"putative dTDP-glucose 4,6-dehydratase",protein-coding,-,-,-,"putative dTDP-glucose 4,6-dehydratase",20210313,-
2696426,62613056,JR322_gp192,JR322_gp192,muut_56,-,-,-,putative glucose-1-phosphate thymidylyltransferase,protein-coding,-,-,-,putative glucose-1-phosphate thymidylyltransferase,20210313,-
2696426,62613057,JR322_gp191,JR322_gp191,muut_57,-,-,-,"putative dTDP-4-dehydrorhamnose 3,5-epimerase",protein-coding,-,-,-,"putative dTDP-4-dehydrorhamnose 3,5-epimerase",20210313,-
2696426,62613058,JR322_gp190,JR322_gp190,muut_58,-,-,-,putative dTDP-4-dehydrorhamnose reductase,protein-coding,-,-,-,putative dTDP-4-dehydrorhamnose reductase,20210313,-
