#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
578459,28972427,RHOBADRAFT_10053,RHOBADRAFT_10053,-,-,Unknown,-,60S ribosomal protein L12,protein-coding,-,-,-,60S ribosomal protein L12,20200205,-
578459,28972428,RHOBADRAFT_10063,RHOBADRAFT_10063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972429,RHOBADRAFT_10101,RHOBADRAFT_10101,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972430,RHOBADRAFT_10194,RHOBADRAFT_10194,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972431,RHOBADRAFT_10213,RHOBADRAFT_10213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972432,RHOBADRAFT_10281,RHOBADRAFT_10281,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972433,RHOBADRAFT_10302,RHOBADRAFT_10302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972434,RHOBADRAFT_10335,RHOBADRAFT_10335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972435,RHOBADRAFT_10363,RHOBADRAFT_10363,-,-,Unknown,-,glycoside hydrolase family 47 protein,protein-coding,-,-,-,glycoside hydrolase family 47 protein,20200205,-
578459,28972436,RHOBADRAFT_10414,RHOBADRAFT_10414,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972437,RHOBADRAFT_10471,RHOBADRAFT_10471,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972438,RHOBADRAFT_10478,RHOBADRAFT_10478,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972439,RHOBADRAFT_10480,RHOBADRAFT_10480,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972440,RHOBADRAFT_10501,RHOBADRAFT_10501,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972441,RHOBADRAFT_10512,RHOBADRAFT_10512,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972442,RHOBADRAFT_10533,RHOBADRAFT_10533,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972443,RHOBADRAFT_10581,RHOBADRAFT_10581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
