#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500812,24723972,ACQ76_gp02,ACQ76_gp02,PHL085N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500812,24723973,ACQ76_gp03,ACQ76_gp03,PHL085N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500812,24723974,ACQ76_gp04,ACQ76_gp04,PHL085N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723975,ACQ76_gp05,ACQ76_gp05,PHL085N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500812,24723976,ACQ76_gp06,ACQ76_gp06,PHL085N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500812,24723977,ACQ76_gp07,ACQ76_gp07,PHL085N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723978,ACQ76_gp08,ACQ76_gp08,PHL085N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723979,ACQ76_gp09,ACQ76_gp09,PHL085N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723980,ACQ76_gp10,ACQ76_gp10,PHL085N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723981,ACQ76_gp11,ACQ76_gp11,PHL085N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500812,24723982,ACQ76_gp12,ACQ76_gp12,PHL085N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723983,ACQ76_gp13,ACQ76_gp13,PHL085N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723984,ACQ76_gp14,ACQ76_gp14,PHL085N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500812,24723985,ACQ76_gp15,ACQ76_gp15,PHL085N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500812,24723986,ACQ76_gp16,ACQ76_gp16,PHL085N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500812,24723987,ACQ76_gp17,ACQ76_gp17,PHL085N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723988,ACQ76_gp18,ACQ76_gp18,PHL085N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723989,ACQ76_gp19,ACQ76_gp19,PHL085N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500812,24723990,ACQ76_gp20,ACQ76_gp20,PHL085N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500812,24723991,ACQ76_gp21,ACQ76_gp21,PHL085N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500812,24723992,ACQ76_gp22,ACQ76_gp22,PHL085N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723993,ACQ76_gp23,ACQ76_gp23,PHL085N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500812,24723994,ACQ76_gp24,ACQ76_gp24,PHL085N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723995,ACQ76_gp25,ACQ76_gp25,PHL085N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723996,ACQ76_gp26,ACQ76_gp26,PHL085N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723997,ACQ76_gp27,ACQ76_gp27,PHL085N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723998,ACQ76_gp28,ACQ76_gp28,PHL085N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24723999,ACQ76_gp29,ACQ76_gp29,PHL085N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724000,ACQ76_gp30,ACQ76_gp30,PHL085N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500812,24724001,ACQ76_gp31,ACQ76_gp31,PHL085N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500812,24724002,ACQ76_gp32,ACQ76_gp32,PHL085N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724003,ACQ76_gp33,ACQ76_gp33,PHL085N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500812,24724004,ACQ76_gp34,ACQ76_gp34,PHL085N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724005,ACQ76_gp35,ACQ76_gp35,PHL085N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724006,ACQ76_gp36,ACQ76_gp36,PHL085N00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500812,24724007,ACQ76_gp37,ACQ76_gp37,PHL085N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724008,ACQ76_gp38,ACQ76_gp38,PHL085N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724009,ACQ76_gp39,ACQ76_gp39,PHL085N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724010,ACQ76_gp40,ACQ76_gp40,PHL085N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724011,ACQ76_gp41,ACQ76_gp41,PHL085N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724012,ACQ76_gp42,ACQ76_gp42,PHL085N00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724013,ACQ76_gp43,ACQ76_gp43,PHL085N00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500812,24724014,ACQ76_gp44,ACQ76_gp44,PHL085N00_44,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500812,24724015,ACQ76_gp01,ACQ76_gp01,PHL085N00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500812,24936524,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
