#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743996,60335404,2,I5I03_gp002,SEA_SOUL22_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2743996,60335405,3,I5I03_gp003,SEA_SOUL22_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2743996,60335406,4,I5I03_gp004,SEA_SOUL22_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2743996,60335407,5,I5I03_gp005,SEA_SOUL22_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2743996,60335408,6,I5I03_gp006,SEA_SOUL22_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2743996,60335409,7,I5I03_gp007,SEA_SOUL22_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2743996,60335410,8,I5I03_gp008,SEA_SOUL22_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335411,9,I5I03_gp009,SEA_SOUL22_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335412,10,I5I03_gp010,SEA_SOUL22_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335413,11,I5I03_gp011,SEA_SOUL22_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335414,12,I5I03_gp012,SEA_SOUL22_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335415,13,I5I03_gp013,SEA_SOUL22_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335416,14,I5I03_gp014,SEA_SOUL22_14,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201129,-
2743996,60335417,16,I5I03_gp015,SEA_SOUL22_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2743996,60335418,17,I5I03_gp017,SEA_SOUL22_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210522,-
2743996,60335419,15,I5I03_gp016,SEA_SOUL22_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2743996,60335420,18,I5I03_gp018,SEA_SOUL22_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2743996,60335421,19,I5I03_gp019,SEA_SOUL22_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2743996,60335422,20,I5I03_gp020,SEA_SOUL22_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2743996,60335423,21,I5I03_gp021,SEA_SOUL22_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2743996,60335424,22,I5I03_gp022,SEA_SOUL22_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2743996,60335425,23,I5I03_gp023,SEA_SOUL22_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2743996,60335426,24,I5I03_gp024,SEA_SOUL22_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2743996,60335427,25,I5I03_gp025,SEA_SOUL22_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2743996,60335428,26,I5I03_gp026,SEA_SOUL22_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2743996,60335429,27,I5I03_gp027,SEA_SOUL22_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335430,28,I5I03_gp028,SEA_SOUL22_28,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2743996,60335431,29,I5I03_gp029,SEA_SOUL22_29,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2743996,60335432,30,I5I03_gp030,SEA_SOUL22_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335433,31,I5I03_gp031,SEA_SOUL22_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335434,32,I5I03_gp032,SEA_SOUL22_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335435,33,I5I03_gp033,SEA_SOUL22_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335436,34,I5I03_gp034,SEA_SOUL22_34,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210522,-
2743996,60335437,35,I5I03_gp035,SEA_SOUL22_35,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2743996,60335438,37,I5I03_gp037,SEA_SOUL22_37,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
2743996,60335439,38,I5I03_gp038,SEA_SOUL22_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2743996,60335440,39,I5I03_gp039,SEA_SOUL22_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335441,40,I5I03_gp040,SEA_SOUL22_40,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20201129,-
2743996,60335442,41,I5I03_gp041,SEA_SOUL22_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335443,43,I5I03_gp043,SEA_SOUL22_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335444,44,I5I03_gp044,SEA_SOUL22_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335445,45,I5I03_gp045,SEA_SOUL22_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335446,46,I5I03_gp046,SEA_SOUL22_46,-,-,-,integrase,protein-coding,-,-,-,integrase,20210522,-
2743996,60335447,47,I5I03_gp047,SEA_SOUL22_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335448,48,I5I03_gp048,SEA_SOUL22_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335449,50,I5I03_gp050,SEA_SOUL22_50,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210424,-
2743996,60335450,51,I5I03_gp051,SEA_SOUL22_51,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2743996,60335451,52,I5I03_gp052,SEA_SOUL22_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335452,53,I5I03_gp053,SEA_SOUL22_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335453,54,I5I03_gp054,SEA_SOUL22_54,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2743996,60335454,55,I5I03_gp055,SEA_SOUL22_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335455,56,I5I03_gp056,SEA_SOUL22_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335456,57,I5I03_gp057,SEA_SOUL22_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335457,58,I5I03_gp058,SEA_SOUL22_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335458,59,I5I03_gp059,SEA_SOUL22_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335459,60,I5I03_gp060,SEA_SOUL22_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743996,60335460,61,I5I03_gp061,SEA_SOUL22_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335461,62,I5I03_gp062,SEA_SOUL22_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2743996,60335462,63,I5I03_gp063,SEA_SOUL22_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2743996,60335463,64,I5I03_gp064,SEA_SOUL22_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2743996,60335464,65,I5I03_gp065,SEA_SOUL22_65,-,-,-,WhiB transcription factor,protein-coding,-,-,-,WhiB transcription factor,20210406,-
2743996,60335465,66,I5I03_gp066,SEA_SOUL22_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210522,-
2743996,60335466,67,I5I03_gp067,SEA_SOUL22_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335467,68,I5I03_gp068,SEA_SOUL22_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335468,69,I5I03_gp069,SEA_SOUL22_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335469,70,I5I03_gp070,SEA_SOUL22_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2743996,60335470,71,I5I03_gp071,SEA_SOUL22_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2743996,60335471,72,I5I03_gp072,SEA_SOUL22_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335472,73,I5I03_gp073,SEA_SOUL22_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335473,75,I5I03_gp075,SEA_SOUL22_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335474,77,I5I03_gp077,SEA_SOUL22_77,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210212,-
2743996,60335475,78,I5I03_gp078,SEA_SOUL22_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335476,79,I5I03_gp079,SEA_SOUL22_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335477,80,I5I03_gp080,SEA_SOUL22_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335478,81,I5I03_gp081,SEA_SOUL22_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335479,82,I5I03_gp082,SEA_SOUL22_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335480,83,I5I03_gp083,SEA_SOUL22_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335481,84,I5I03_gp084,SEA_SOUL22_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335482,85,I5I03_gp085,SEA_SOUL22_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335483,86,I5I03_gp086,SEA_SOUL22_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335484,87,I5I03_gp087,SEA_SOUL22_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335485,88,I5I03_gp088,SEA_SOUL22_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335486,89,I5I03_gp089,SEA_SOUL22_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335487,90,I5I03_gp090,SEA_SOUL22_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335488,91,I5I03_gp091,SEA_SOUL22_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335489,92,I5I03_gp092,SEA_SOUL22_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335490,93,I5I03_gp093,SEA_SOUL22_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335491,94,I5I03_gp094,SEA_SOUL22_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335492,95,I5I03_gp095,SEA_SOUL22_95,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210522,-
2743996,60335493,96,I5I03_gp096,SEA_SOUL22_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335494,97,I5I03_gp097,SEA_SOUL22_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335495,98,I5I03_gp098,SEA_SOUL22_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
